U_B / V	U_A / V
0.60	0.05
0.60	0.05
0.60	0.05
0.60	0.05
0.60	0.05
0.60	0.05
0.60	0.05
0.60	0.05
0.65	0.05
0.85	0.05
1.05	0.04
1.25	0.05
1.45	0.05
1.65	0.05
1.80	0.05
2.00	0.05
2.20	0.05
2.40	0.05
2.60	0.05
2.80	0.05
2.95	0.05
3.15	0.05
3.35	0.05
3.55	0.05
3.70	0.05
3.95	0.05
4.10	0.05
4.30	0.05
4.50	0.05
4.70	0.05
4.90	0.05
5.10	0.05
5.25	0.05
5.45	0.05
5.65	0.06
5.85	0.06
6.05	0.06
6.25	0.06
6.45	0.08
6.65	0.08
6.85	0.09
7.00	0.08
7.25	0.09
7.40	0.09
7.60	0.09
7.80	0.09
8.00	0.09
8.15	0.09
8.40	0.09
8.60	0.09
8.75	0.08
8.95	0.08
9.15	0.08
9.35	0.07
9.50	0.07
9.75	0.07
9.90	0.08
10.10	0.08
10.30	0.09
10.50	0.10
10.65	0.13
10.85	0.15
11.05	0.18
11.25	0.22
11.45	0.24
11.65	0.25
11.85	0.25
12.00	0.24
12.25	0.22
12.40	0.21
12.60	0.19
12.80	0.18
13.00	0.16
13.20	0.15
13.35	0.14
13.60	0.13
13.80	0.11
13.95	0.11
14.20	0.09
14.35	0.10
14.55	0.10
14.75	0.12
14.90	0.14
15.10	0.18
15.30	0.23
15.50	0.29
15.70	0.36
15.90	0.47
16.05	0.56
16.25	0.63
16.45	0.67
16.65	0.65
16.85	0.60
17.05	0.55
17.25	0.47
17.45	0.42
17.65	0.36
17.80	0.30
18.00	0.26
18.20	0.22
18.40	0.19
18.60	0.16
18.80	0.14
18.95	0.13
19.20	0.13
19.35	0.15
19.55	0.18
19.80	0.24
19.95	0.32
20.15	0.42
20.30	0.55
20.55	0.73
20.70	0.92
20.90	1.11
21.10	1.31
21.30	1.39
21.50	1.39
21.70	1.28
21.90	1.17
22.05	1.02
22.30	0.85
22.45	0.71
22.65	0.59
22.85	0.49
23.05	0.41
23.25	0.34
23.40	0.28
23.60	0.22
23.80	0.20
24.00	0.19
24.20	0.22
24.40	0.28
24.55	0.36
24.75	0.49
24.95	0.67
25.15	0.88
25.35	1.12
25.55	1.46
25.70	1.80
25.90	2.13
26.10	2.42
26.30	2.56
26.50	2.51
26.70	2.33
26.90	2.12
27.05	1.88
27.25	1.60
27.45	1.30
27.65	1.11
27.80	0.90
28.05	0.71
28.20	0.57
28.40	0.46
28.65	0.37
28.80	0.33
29.00	0.34
29.20	0.40
29.40	0.52
29.55	0.68
29.75	0.91
29.95	1.23
30.15	1.58
30.35	1.98
30.55	2.51
30.75	3.01
30.90	3.54
31.10	3.99
31.30	4.17
31.50	4.22
31.70	4.07
31.90	3.74
32.10	3.34
32.30	2.92
32.50	2.51
32.65	1.97
32.85	1.56
33.05	1.26
33.25	1.00
33.45	0.84
33.65	0.69
33.85	0.65
34.00	0.66
34.20	0.76
34.45	0.95
34.60	1.19
34.80	1.56
35.00	2.07
35.15	2.61
35.35	3.27
35.60	4.10
35.75	4.82
35.95	5.51
36.15	6.31
36.35	6.74
36.50	6.98
36.75	6.93
36.90	6.78
37.10	6.02
37.30	5.54
37.50	4.70
37.70	4.19
37.90	3.47
38.10	3.13
38.30	2.55
38.45	2.23
38.65	1.89
38.85	1.71
39.05	1.71
39.20	1.81
39.45	2.06
39.60	2.41
39.80	2.97
40.00	3.66
40.20	4.47
40.40	5.41
40.60	6.65
40.65	7.13
40.65	7.13
40.65	7.08
40.65	7.15
40.65	7.13
40.65	7.14
40.65	7.14
40.65	7.07
40.65	7.10
40.65	7.09
40.65	7.11
40.65	7.10
40.65	7.14
40.65	7.11
40.65	7.10
40.65	7.12
40.65	7.13
40.65	7.13
40.65	7.08
