U_B / V	U_A / V
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.50	0.06
0.60	0.06
0.80	0.06
1.00	0.06
1.15	0.06
1.35	0.06
1.55	0.06
1.75	0.06
1.95	0.06
2.15	0.06
2.35	0.06
2.55	0.06
2.70	0.06
2.95	0.06
3.10	0.06
3.30	0.06
3.50	0.05
3.70	0.06
3.85	0.06
4.10	0.06
4.25	0.05
4.45	0.06
4.65	0.06
4.85	0.06
5.05	0.06
5.20	0.06
5.40	0.06
5.60	0.06
5.80	0.05
6.00	0.06
6.20	0.05
6.40	0.06
6.60	0.05
6.75	0.06
6.95	0.06
7.15	0.06
7.35	0.06
7.55	0.07
7.70	0.07
7.95	0.07
8.15	0.07
8.30	0.07
8.50	0.07
8.70	0.07
8.90	0.07
9.10	0.08
9.30	0.08
9.45	0.08
9.65	0.07
9.85	0.08
10.05	0.08
10.25	0.08
10.45	0.08
10.60	0.08
10.80	0.08
11.00	0.08
11.20	0.09
11.40	0.09
11.60	0.10
11.80	0.10
11.95	0.10
12.15	0.11
12.35	0.11
12.55	0.11
12.75	0.11
12.95	0.11
13.15	0.11
13.35	0.11
13.55	0.11
13.75	0.11
13.90	0.11
14.10	0.10
14.30	0.10
14.50	0.10
14.65	0.10
14.90	0.10
15.10	0.10
15.25	0.10
15.50	0.12
15.65	0.12
15.85	0.14
16.00	0.15
16.20	0.17
16.40	0.18
16.60	0.20
16.80	0.20
17.00	0.21
17.20	0.21
17.40	0.21
17.55	0.20
17.75	0.20
17.95	0.19
18.15	0.18
18.35	0.16
18.55	0.15
18.75	0.15
18.90	0.13
19.10	0.13
19.30	0.12
19.50	0.13
19.65	0.13
19.90	0.14
20.05	0.15
20.30	0.17
20.50	0.21
20.65	0.24
20.85	0.28
21.05	0.31
21.25	0.35
21.40	0.37
21.60	0.38
21.85	0.38
22.00	0.36
22.20	0.34
22.45	0.31
22.60	0.29
22.80	0.27
23.00	0.24
23.20	0.22
23.40	0.19
23.55	0.17
23.75	0.17
23.95	0.15
24.15	0.15
24.35	0.16
24.55	0.18
24.70	0.20
24.95	0.24
25.10	0.28
25.30	0.34
25.50	0.40
25.70	0.49
25.85	0.56
26.05	0.62
26.25	0.64
26.45	0.64
26.65	0.62
26.85	0.58
27.00	0.53
27.20	0.48
27.40	0.43
27.60	0.37
27.80	0.33
27.95	0.28
28.20	0.24
28.40	0.21
28.55	0.19
28.80	0.18
28.95	0.19
29.15	0.21
29.35	0.25
29.55	0.29
29.70	0.36
29.90	0.43
30.10	0.55
30.30	0.66
30.50	0.77
30.70	0.90
30.90	0.98
31.05	1.02
31.30	1.01
31.45	0.94
31.65	0.87
31.85	0.78
32.05	0.69
32.25	0.59
32.40	0.51
32.65	0.42
32.85	0.37
33.00	0.30
33.20	0.27
33.40	0.24
33.60	0.23
33.80	0.24
34.00	0.28
34.15	0.33
34.35	0.42
34.55	0.52
34.75	0.66
34.90	0.80
35.15	1.01
35.30	1.19
35.50	1.36
35.70	1.49
35.90	1.53
36.10	1.52
36.30	1.43
36.45	1.31
36.65	1.17
36.85	1.02
37.05	0.85
37.25	0.73
37.45	0.60
37.65	0.49
37.85	0.41
38.00	0.36
38.25	0.32
38.40	0.32
38.60	0.33
38.80	0.39
39.00	0.47
39.20	0.58
39.35	0.72
39.55	0.92
39.75	1.14
39.90	1.39
40.15	1.67
40.30	1.91
40.50	2.09
40.55	2.11
40.55	2.10
40.55	2.10
40.55	2.09
40.55	2.10
40.55	2.10
40.55	2.09
40.55	2.08
40.55	2.09
40.55	2.08
