I_A1 / A	B_B1 / mT
-0.05	-1
-0.04	-1
-0.04	-1
-0.05	-1
-0.05	-1
-0.04	-1
-0.04	-1
-0.05	-1
-0.04	-1
-0.05	-1
-0.04	-1
-0.05	-1
-0.05	-1
-0.04	-1
-0.04	-1
-0.04	-1
-0.04	-1
-0.04	-1
-0.05	-1
-0.05	-1
-0.04	-1
-0.04	-1
-0.05	-1
-0.04	-1
-0.04	-1
-0.05	-1
-0.05	-1
-0.05	-1
-0.05	-1
-0.05	-1
-0.05	-1
-0.05	-1
0.11	9
0.52	37
0.64	45
0.67	47
0.65	46
0.64	45
0.68	48
0.69	48
0.69	49
0.69	49
0.72	50
0.71	49
0.74	51
0.73	51
0.73	51
0.72	50
0.72	50
0.73	51
0.77	53
1.23	84
1.02	73
1.75	118
1.33	95
1.58	108
1.44	100
1.51	104
1.48	103
1.49	103
1.49	103
1.49	103
1.49	103
1.49	103
1.48	102
1.49	103
1.49	103
1.49	103
1.49	103
1.92	131
2.45	165
2.35	160
2.39	162
2.37	161
2.37	161
2.37	161
2.37	161
2.37	161
2.37	161
2.37	161
2.36	161
2.36	160
2.58	174
2.83	190
2.83	191
2.84	192
2.85	192
2.84	192
2.85	192
2.84	192
2.85	192
2.84	192
2.84	192
2.84	192
2.84	192
2.90	195
3.09	207
3.23	217
3.17	214
3.16	214
3.15	213
3.16	214
3.15	213
3.16	214
3.15	213
3.15	213
3.15	213
3.15	213
3.14	213
3.19	216
3.59	241
3.60	242
3.75	251
3.63	245
3.70	248
3.67	247
3.67	247
3.68	247
3.67	247
3.67	247
3.66	247
3.66	246
3.64	246
3.64	246
3.63	245
3.63	245
3.62	244
3.87	259
3.91	262
4.03	269
3.97	267
3.99	267
3.99	267
3.99	267
3.99	268
3.99	267
3.99	267
3.99	267
3.99	267
3.99	267
3.99	267
4.07	272
4.05	272
4.08	273
4.17	279
4.17	279
4.19	280
4.16	279
4.18	280
4.17	279
4.17	280
4.17	279
4.17	280
4.17	279
4.17	280
4.18	280
4.18	280
4.15	278
4.17	279
4.17	279
4.21	282
4.51	300
4.43	296
4.57	304
4.51	301
4.55	303
4.52	302
4.54	303
4.55	303
4.54	303
4.54	303
4.54	302
4.54	302
4.52	302
4.52	302
4.51	301
4.69	311
4.82	319
4.79	318
4.80	318
4.80	318
4.80	319
4.81	319
4.80	319
4.81	319
4.81	319
4.81	319
4.81	319
4.80	319
4.80	319
4.81	319
4.87	322
4.84	321
4.86	322
5.03	331
4.96	329
5.04	332
5.02	331
5.02	332
5.02	332
5.02	332
5.02	332
5.03	332
5.02	332
4.96	329
4.99	330
4.97	330
4.96	329
4.96	329
4.96	329
4.96	329
5.07	334
5.03	333
5.19	341
5.15	339
5.14	339
5.14	339
5.14	339
5.15	339
5.15	339
5.15	340
5.16	340
5.16	340
5.17	340
5.17	341
5.17	340
5.16	340
5.18	341
5.19	341
5.19	341
5.16	340
5.21	342
5.28	346
5.41	352
5.37	352
5.32	350
5.35	351
5.35	351
5.34	351
5.35	351
5.34	350
5.34	350
5.34	351
5.35	351
5.34	351
5.34	351
5.34	351
5.41	353
5.39	353
5.53	359
5.63	365
5.75	370
5.68	367
5.69	368
5.70	368
5.69	368
5.69	368
5.69	368
5.69	368
5.69	368
5.69	368
5.69	368
5.69	368
5.69	368
5.70	368
5.71	368
5.71	368
5.85	375
5.88	376
6.04	383
6.05	384
6.03	383
6.03	383
6.03	383
6.03	383
6.03	383
6.04	383
6.04	383
6.04	383
6.04	383
6.04	384
6.16	389
6.22	392
6.25	392
6.23	392
6.51	402
6.53	403
6.65	407
6.71	408
6.68	408
6.69	408
6.69	408
6.69	408
6.68	408
6.68	408
6.69	408
6.70	409
6.70	409
6.77	411
6.78	411
6.92	415
7.03	419
7.10	421
7.10	421
7.08	420
7.07	420
7.07	420
7.08	420
7.09	420
7.09	421
7.10	421
7.22	425
7.33	428
7.42	430
7.42	430
7.42	430
7.42	430
7.42	430
7.42	430
7.42	430
7.42	430
7.42	430
7.49	432
7.51	433
7.79	440
7.88	443
8.02	446
8.06	446
8.06	446
8.06	447
8.06	446
8.06	447
8.06	447
8.06	447
8.08	447
8.10	448
8.18	449
8.43	455
8.48	456
8.72	461
8.72	461
8.72	461
8.72	461
8.72	462
8.72	461
8.72	461
8.72	461
8.72	461
8.72	461
8.73	461
8.72	462
8.73	461
8.73	461
8.73	462
8.73	462
8.72	462
8.73	461
8.73	461
8.73	462
8.73	462
8.73	461
8.73	461
8.73	462
8.50	457
8.48	456
8.60	459
8.60	459
8.59	459
8.59	459
8.60	459
8.60	459
8.60	459
8.60	459
8.60	459
8.60	459
8.60	459
8.60	459
