I_A1 / A	B_B1 / mT
-0.01	1
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	1
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	-1
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
-0.01	0
0.21	13
0.61	37
0.72	43
0.90	56
1.40	88
1.16	74
1.15	73
1.14	73
1.57	99
1.33	85
1.45	91
1.53	96
1.48	94
1.51	95
1.49	94
1.50	94
1.49	94
1.49	94
1.49	94
1.08	69
1.28	81
1.15	73
1.26	80
1.19	75
1.28	82
1.63	102
1.45	93
1.54	97
1.52	96
1.53	97
1.53	96
1.53	97
1.53	96
1.53	97
1.56	98
1.56	99
1.84	116
1.71	109
1.90	121
2.22	141
2.09	134
2.19	139
2.27	144
2.22	142
2.27	144
2.25	143
2.26	144
2.34	149
2.49	159
2.53	162
2.78	177
2.65	170
2.74	176
2.81	179
2.89	185
2.91	186
2.90	185
2.95	189
3.19	204
3.06	197
3.22	207
3.41	218
3.31	213
3.36	216
3.34	215
3.34	215
3.52	226
3.64	234
3.60	232
3.80	244
3.93	252
3.93	253
3.98	256
4.00	256
4.20	269
4.13	265
4.40	283
4.77	304
4.72	302
4.74	303
4.74	302
4.79	306
4.88	311
4.86	310
4.97	316
5.10	324
5.08	323
5.06	322
5.32	335
5.22	331
5.37	338
5.33	336
5.36	337
5.53	346
5.46	344
5.52	346
5.64	352
5.60	350
5.64	352
5.75	356
5.74	356
5.71	355
5.72	355
5.80	359
5.98	366
5.97	367
6.02	369
6.20	376
6.19	376
6.17	376
6.18	376
6.18	375
6.39	384
6.42	385
6.47	386
6.46	386
6.46	386
6.48	387
6.71	395
6.68	394
6.80	397
6.78	396
6.83	398
6.90	400
6.90	400
7.04	405
7.10	406
7.11	407
7.11	407
7.25	410
7.24	410
7.30	412
7.30	412
7.30	412
7.43	416
7.41	415
7.41	415
7.41	415
7.47	417
7.46	416
7.47	416
7.47	417
7.47	416
7.47	417
7.48	417
7.48	416
7.47	417
7.47	417
7.64	421
7.61	420
7.62	420
7.76	424
7.73	423
7.76	424
7.75	423
7.75	424
7.75	423
7.75	423
7.75	424
7.75	423
7.75	423
7.76	424
7.75	423
7.75	424
7.76	424
7.75	423
7.76	424
7.76	424
7.75	424
7.75	423
7.76	424
7.76	423
7.76	423
7.75	424
7.76	423
7.76	423
7.76	423
7.76	424
7.75	424
7.76	424
7.76	423
7.76	423
7.76	424
7.76	424
7.76	423
7.76	423
7.76	424
7.76	423
