&a / 	I1 / 
5.459	0.0
5.454	0.0
5.449	0.0
5.443	0.0
5.438	0.0
5.433	0.0
5.428	0.0
5.422	0.0
5.417	0.0
5.412	0.0
5.406	0.0
5.401	0.0
5.396	0.0
5.390	0.0
5.385	0.0
5.380	0.0
5.375	0.0
5.369	0.0
5.364	0.0
5.359	0.0
5.353	0.0
5.348	0.0
5.343	0.0
5.337	0.0
5.332	0.0
5.327	0.0
5.322	0.0
5.316	0.0
5.311	0.0
5.306	0.0
5.300	0.0
5.295	0.0
5.290	0.1
5.284	0.1
5.279	0.1
5.274	0.1
5.269	0.2
5.263	0.2
5.258	0.2
5.253	0.2
5.247	0.2
5.242	0.1
5.237	0.1
5.231	0.1
5.226	0.2
5.221	0.2
5.216	0.2
5.210	0.4
5.205	0.4
5.200	0.4
5.194	0.4
5.189	0.4
5.184	0.4
5.178	0.4
5.173	0.4
5.168	0.3
5.162	0.3
5.157	0.2
5.152	0.1
5.147	0.1
5.141	0.1
5.136	0.2
5.131	0.2
5.125	0.3
5.120	0.5
5.115	0.4
5.109	0.4
5.104	0.4
5.099	0.4
5.094	0.4
5.088	0.4
5.083	0.4
5.078	0.4
5.072	0.5
5.067	0.7
5.062	1.0
5.056	1.5
5.051	1.9
5.046	2.4
5.040	2.7
5.035	2.6
5.030	2.4
5.025	2.0
5.019	1.6
5.014	1.2
5.009	1.0
5.003	0.8
4.998	0.8
4.993	0.9
4.987	1.1
4.982	1.4
4.977	2.1
4.971	2.7
4.966	3.3
4.961	3.7
4.956	3.7
4.950	3.5
4.945	3.0
4.940	2.6
4.934	2.1
4.929	1.7
4.924	1.4
4.918	1.2
4.913	1.3
4.908	1.6
4.902	1.9
4.897	2.7
4.892	3.6
4.887	4.3
4.881	5.0
4.876	5.3
4.871	5.1
4.865	4.6
4.860	3.9
4.855	3.2
4.849	2.6
4.844	2.2
4.839	1.9
4.833	1.7
4.828	1.9
4.823	2.2
4.818	3.0
4.812	3.9
4.807	4.9
4.802	5.8
4.796	6.5
4.791	6.7
4.786	6.3
4.780	5.6
4.775	4.8
4.770	4.0
4.764	3.3
4.759	2.8
4.754	2.5
4.748	2.4
4.743	2.6
4.738	3.1
4.733	3.9
4.727	5.0
4.722	6.2
4.717	7.2
4.711	7.8
4.706	8.0
4.701	7.5
4.695	6.7
4.690	5.8
4.685	5.0
4.679	4.1
4.674	3.5
4.669	3.1
4.663	3.0
4.658	3.2
4.653	3.8
4.648	4.7
4.642	6.0
4.637	7.3
4.632	8.4
4.626	9.1
4.621	9.3
4.616	9.0
4.610	8.3
4.605	7.4
4.600	6.3
4.594	5.3
4.589	4.6
4.584	4.1
4.578	3.8
4.573	4.0
4.568	4.6
4.563	5.7
4.557	6.9
4.552	8.2
4.547	9.3
4.541	10.1
4.536	10.5
4.531	10.4
4.525	9.9
4.520	9.2
4.515	8.2
4.509	7.2
4.504	6.1
4.499	5.3
4.493	4.8
4.488	4.5
4.483	4.8
4.478	5.5
4.472	6.8
4.467	8.2
4.462	9.6
4.456	10.6
4.451	11.2
4.446	11.4
4.440	11.6
4.435	11.0
4.430	10.2
4.424	9.2
4.419	8.1
4.414	7.1
4.408	6.3
4.403	5.7
4.398	5.7
4.392	6.3
4.387	7.3
4.382	8.6
4.377	10.1
4.371	11.3
4.366	12.0
4.361	12.3
4.355	12.3
4.350	12.1
4.345	11.8
4.339	11.1
4.334	10.3
4.329	9.3
4.323	8.3
4.318	7.4
4.313	6.8
4.307	6.5
4.302	7.0
4.297	8.0
4.291	9.4
4.286	10.9
4.281	12.3
4.275	13.0
4.270	13.1
4.265	13.0
4.260	12.7
4.254	12.3
4.249	11.9
4.244	11.2
4.238	10.5
4.233	9.5
4.228	8.6
4.222	7.8
4.217	7.4
4.212	7.6
4.206	8.5
4.201	9.9
4.196	11.5
4.190	13.1
4.185	14.1
4.180	14.4
4.174	14.2
4.169	13.7
4.164	13.2
4.158	12.5
4.153	11.9
4.148	11.2
4.143	10.5
4.137	9.8
4.132	9.1
4.127	8.6
4.121	8.3
4.116	8.7
4.111	9.8
4.105	11.2
4.100	13.6
4.095	14.9
4.089	15.6
4.084	15.6
4.079	15.2
4.073	14.4
4.068	13.6
4.063	12.7
4.057	11.8
4.052	11.0
4.047	10.3
4.041	9.6
4.036	9.2
4.031	8.8
4.025	8.6
4.020	9.0
4.015	10.1
4.009	11.6
4.004	13.4
3.999	15.4
3.994	16.8
3.988	17.2
3.983	16.9
3.978	16.1
3.972	15.2
3.967	14.2
3.962	13.0
3.956	12.0
3.951	11.1
3.946	10.2
3.940	9.5
3.935	8.9
3.930	8.5
3.924	8.6
3.919	9.4
3.914	11.0
3.908	12.9
3.903	15.0
3.898	17.0
3.892	18.3
3.887	18.5
3.882	18.0
3.876	17.0
3.871	15.9
3.866	14.7
3.860	13.4
3.855	12.3
3.850	11.2
3.844	10.2
3.839	9.3
3.834	8.7
3.829	8.3
3.823	8.3
3.818	9.1
3.813	10.7
3.807	12.8
3.802	15.2
3.797	17.7
3.791	19.7
3.786	20.2
3.781	19.9
3.775	18.7
3.770	17.4
3.765	15.9
3.759	13.9
3.754	12.8
3.749	11.6
3.743	10.5
3.738	9.6
3.733	8.8
3.727	8.2
3.722	7.9
3.717	8.1
3.711	8.9
3.706	10.8
3.701	13.3
3.695	16.0
3.690	19.0
3.685	21.2
3.679	21.7
3.674	21.3
3.669	19.9
3.663	18.3
3.658	16.6
3.653	15.0
3.647	13.4
3.642	12.0
3.637	10.8
3.632	9.7
3.626	8.8
3.621	8.1
3.616	7.7
3.610	7.8
3.605	8.3
3.600	9.9
3.594	12.3
3.589	15.1
3.584	18.2
3.578	21.2
3.573	22.7
3.568	22.7
3.562	21.7
3.557	20.0
3.552	18.0
3.546	16.1
3.541	14.2
3.536	12.6
3.530	11.1
3.525	10.0
3.520	9.0
3.514	8.3
3.509	7.8
3.504	7.5
3.498	7.5
3.493	8.1
3.488	9.6
3.482	12.3
3.477	15.4
3.472	18.9
3.466	22.2
3.461	24.4
3.456	24.5
3.450	23.4
3.445	21.6
3.440	19.4
3.434	17.3
3.429	15.3
3.424	13.6
3.418	11.4
3.413	10.4
3.408	9.4
3.402	8.6
3.397	7.9
3.392	7.4
3.386	7.2
3.381	7.3
3.376	7.9
3.370	9.7
3.365	12.7
3.360	16.1
3.354	19.8
3.349	23.4
3.344	25.6
3.338	25.9
3.333	24.6
3.328	22.7
3.322	20.3
3.317	18.0
3.312	15.9
3.306	13.9
3.301	12.3
3.296	10.8
3.291	9.7
3.285	8.7
3.280	8.0
3.275	7.5
3.269	7.2
3.264	7.2
3.259	7.6
3.253	8.6
3.248	10.9
3.243	14.2
3.237	18.1
3.232	22.2
3.227	25.8
3.221	27.5
3.216	27.2
3.211	25.5
3.205	23.2
3.200	20.5
3.195	18.1
3.189	15.9
3.184	14.0
3.179	12.4
3.173	11.0
3.168	9.8
3.163	8.8
3.157	8.0
3.152	7.5
3.147	7.1
3.141	7.1
3.136	7.3
3.131	8.0
3.125	9.6
3.120	12.5
3.115	16.3
3.109	20.4
3.104	24.6
3.099	27.9
3.093	29.1
3.088	28.4
3.083	26.2
3.077	22.8
3.072	20.4
3.067	18.1
3.061	16.0
3.056	14.1
3.051	12.4
3.045	11.0
3.040	9.7
3.035	8.8
3.029	8.0
3.024	7.5
3.019	7.1
3.013	7.0
3.008	7.2
3.003	7.7
2.997	8.7
2.992	10.9
2.987	14.3
2.981	18.6
2.976	23.2
2.971	27.6
2.965	30.6
2.960	31.3
2.955	29.8
2.949	27.4
2.944	24.3
2.939	21.4
2.933	18.6
2.928	16.3
2.923	14.2
2.917	12.5
2.912	10.9
2.907	9.7
2.901	8.8
2.896	8.1
2.891	7.5
2.885	7.2
2.880	6.9
2.875	7.0
2.869	7.3
2.864	7.9
2.859	9.3
2.853	11.8
2.848	15.5
2.843	20.2
2.837	25.1
2.832	29.7
2.827	32.6
2.821	33.1
2.816	31.6
2.811	28.9
2.805	25.6
2.800	22.6
2.795	19.6
2.789	17.1
2.784	14.9
2.779	13.0
2.773	11.4
2.768	10.1
2.763	9.1
2.757	8.3
2.752	7.7
2.747	7.3
2.741	7.0
2.736	6.9
2.731	7.1
2.725	7.3
2.720	7.9
2.715	9.2
2.709	11.5
2.704	15.2
2.699	20.1
2.693	25.5
2.688	30.6
2.683	34.4
2.677	35.5
2.672	34.2
2.667	31.2
2.661	27.7
2.656	24.3
2.651	21.2
2.645	18.4
2.640	16.0
2.635	13.9
2.629	12.2
2.624	10.9
2.619	9.8
2.613	8.8
2.608	8.1
2.602	7.5
2.597	7.2
2.592	7.0
2.586	6.8
2.581	6.9
2.576	7.2
2.570	7.6
2.565	8.6
2.560	10.2
2.554	13.0
2.549	17.2
2.544	22.4
2.538	28.0
2.533	33.1
