&a / °	I1 / %
5.459	0.1
5.454	0.1
5.449	0.1
5.443	0.1
5.438	0.1
5.433	0.1
5.428	0.0
5.422	0.0
5.417	0.0
5.412	0.0
5.406	0.0
5.401	0.0
5.396	0.0
5.390	0.0
5.385	0.0
5.380	0.0
5.375	0.0
5.369	0.0
5.364	0.0
5.359	0.0
5.353	0.0
5.348	0.0
5.343	0.0
5.337	0.0
5.332	0.0
5.327	0.0
5.322	0.0
5.316	0.0
5.311	0.0
5.306	0.0
5.300	0.0
5.295	0.0
5.290	0.0
5.284	0.0
5.279	0.0
5.274	0.0
5.269	0.0
5.263	0.0
5.258	0.0
5.253	0.0
5.247	0.0
5.242	0.0
5.237	0.0
5.231	0.0
5.226	0.0
5.221	0.0
5.216	0.0
5.210	0.0
5.205	0.0
5.200	0.1
5.194	0.1
5.189	0.1
5.184	0.1
5.178	0.1
5.173	0.1
5.168	0.1
5.162	0.1
5.157	0.1
5.152	0.1
5.147	0.1
5.141	0.2
5.136	0.3
5.131	0.3
5.125	0.3
5.120	0.3
5.115	0.3
5.109	0.3
5.104	0.3
5.099	0.3
5.094	0.3
5.088	0.3
5.083	0.3
5.078	0.4
5.072	0.4
5.067	0.4
5.062	0.4
5.056	0.4
5.051	0.4
5.046	0.4
5.040	0.4
5.035	0.4
5.030	0.4
5.025	0.4
5.019	0.4
5.014	0.4
5.009	0.4
5.003	0.5
4.998	0.8
4.993	0.9
4.987	1.0
4.982	1.0
4.977	0.9
4.971	0.8
4.966	0.8
4.961	0.8
4.956	0.8
4.950	0.8
4.945	0.8
4.940	0.8
4.934	0.8
4.929	1.1
4.924	1.4
4.918	1.8
4.913	2.1
4.908	2.1
4.902	1.7
4.897	1.4
4.892	1.2
4.887	1.1
4.881	0.9
4.876	0.8
4.871	0.8
4.865	0.8
4.860	1.2
4.855	1.6
4.849	2.3
4.844	3.1
4.839	3.9
4.833	4.0
4.828	3.6
4.823	2.8
4.818	2.0
4.812	1.6
4.807	1.2
4.802	1.2
4.796	1.2
4.791	1.2
4.786	1.2
4.780	1.6
4.775	2.4
4.770	3.2
4.764	4.8
4.759	6.0
4.754	6.0
4.748	5.2
4.743	4.4
4.738	3.2
4.733	2.4
4.727	1.8
4.722	1.4
4.717	1.3
4.711	1.3
4.706	1.4
4.701	1.8
4.695	2.6
4.690	4.2
