&a / °	I1 / %
5.459	0.0
5.454	0.0
5.449	0.0
5.443	0.0
5.438	0.0
5.433	0.0
5.428	0.0
5.422	0.0
5.417	0.0
5.412	0.0
5.406	0.0
5.401	0.0
5.396	0.0
5.390	0.0
5.385	0.0
5.380	0.0
5.375	0.0
5.369	0.0
5.364	0.0
5.359	0.0
5.353	0.0
5.348	0.0
5.343	0.0
5.337	0.0
5.332	0.0
5.327	0.0
5.322	0.0
5.316	0.0
5.311	0.0
5.306	0.0
5.300	0.0
5.295	0.0
5.290	0.0
5.284	0.0
5.279	0.0
5.274	0.0
5.269	0.0
5.263	0.0
5.258	0.0
5.253	0.0
5.247	0.0
5.242	0.0
5.237	0.0
5.231	0.0
5.226	0.0
5.221	0.0
5.216	0.0
5.210	0.0
5.205	0.0
5.200	0.0
5.194	0.0
5.189	0.0
5.184	0.0
5.178	0.0
5.173	0.0
5.168	0.0
5.162	0.0
5.157	0.1
5.152	0.1
5.147	0.1
5.141	0.1
5.136	0.2
5.131	0.2
5.125	0.3
5.120	0.3
5.115	0.3
5.109	0.3
5.104	0.3
5.099	0.3
5.094	0.3
5.088	0.4
5.083	0.4
5.078	0.4
5.072	0.5
5.067	0.5
5.062	0.6
5.056	0.6
5.051	0.7
5.046	0.7
5.040	0.7
5.035	0.7
5.030	0.7
5.025	0.7
5.019	0.8
5.014	0.8
5.009	1.1
5.003	1.2
4.998	1.3
4.993	1.3
4.987	1.5
4.982	1.5
4.977	1.6
4.971	1.6
4.966	1.6
4.961	1.6
4.956	1.6
4.950	1.6
4.945	1.6
4.940	1.9
4.934	2.3
4.929	2.4
4.924	2.7
4.918	2.8
4.913	3.1
4.908	3.1
4.902	3.1
4.897	3.1
4.892	3.1
4.887	3.1
4.881	2.8
4.876	2.5
4.871	2.5
4.865	2.8
4.860	3.3
4.855	3.7
4.849	4.0
4.844	4.4
4.839	4.8
4.833	5.0
4.828	5.0
4.823	4.6
4.818	4.5
4.812	4.4
4.807	4.0
4.802	3.6
4.796	3.5
4.791	3.7
4.786	4.2
4.780	4.8
4.775	5.2
4.770	5.7
4.764	6.4
4.759	7.1
4.754	7.2
4.748	6.9
4.743	6.7
4.738	6.6
4.733	6.2
4.727	5.2
4.722	4.4
4.717	4.0
4.711	4.3
4.706	5.1
4.701	5.9
4.695	6.4
4.690	7.2
4.685	8.4
4.679	9.6
4.674	9.7
4.669	8.9
4.663	8.4
4.658	8.4
4.653	8.2
4.648	7.0
4.642	5.6
4.637	4.8
4.632	5.1
4.626	6.3
4.621	7.7
4.616	8.5
4.610	8.9
4.605	9.9
4.600	11.5
4.594	12.3
4.589	11.4
4.584	10.4
4.578	10.3
4.573	10.4
4.568	9.4
4.563	7.8
4.557	6.3
4.552	5.9
4.547	6.6
4.541	8.2
4.536	9.5
4.531	9.9
4.525	10.7
4.520	12.9
4.515	14.7
4.509	14.2
4.504	12.2
4.499	11.2
4.493	11.6
4.488	11.7
4.483	10.2
4.478	8.1
4.472	6.6
4.467	6.3
4.462	7.5
4.456	9.8
4.451	11.3
4.446	11.7
4.440	12.3
4.435	14.9
4.430	17.6
4.424	17.1
4.419	14.7
4.414	13.5
4.408	13.7
4.403	13.4
4.398	11.4
4.392	8.9
4.387	7.3
4.382	6.8
4.377	7.9
4.371	10.4
4.366	12.4
4.361	12.7
4.355	12.8
4.350	15.2
4.345	19.1
4.339	19.5
4.334	16.7
4.329	14.7
4.323	14.6
4.318	14.7
4.313	12.9
4.307	10.2
4.302	8.1
4.297	7.0
4.291	7.3
4.286	9.7
4.281	12.8
4.275	13.9
4.270	13.5
4.265	14.0
4.260	17.8
4.254	21.1
4.249	19.6
4.244	16.6
4.238	15.4
4.233	16.2
4.228	15.8
4.222	13.2
4.217	10.3
4.212	8.3
4.206	7.3
4.201	7.7
4.196	10.4
4.190	13.4
4.185	14.6
4.180	14.2
4.174	14.8
4.169	18.2
4.164	21.1
4.158	20.1
4.153	17.3
4.148	16.4
4.143	17.2
4.137	17.1
4.132	14.3
4.127	11.1
4.121	8.8
4.116	7.6
4.111	7.6
4.105	10.0
4.100	13.6
4.095	15.5
4.089	15.1
4.084	15.1
4.079	18.6
4.073	23.6
4.068	23.3
4.063	19.7
4.057	17.3
4.052	17.5
4.047	18.1
4.041	16.3
4.036	13.1
4.031	10.4
4.025	8.5
4.020	7.7
4.015	8.5
4.009	11.7
4.004	15.1
3.999	16.1
3.994	15.4
3.988	15.8
3.983	20.4
3.978	24.8
3.972	23.5
3.967	19.8
3.962	17.7
3.956	18.2
3.951	18.5
3.946	16.5
3.940	13.3
3.935	10.6
3.930	8.7
3.924	7.9
3.919	8.5
3.914	11.3
3.908	14.5
3.903	15.9
3.898	15.8
3.892	15.8
3.887	19.6
3.882	24.9
3.876	24.9
3.871	21.4
3.866	18.6
3.860	18.4
3.855	19.1
3.850	17.9
3.844	15.0
3.839	12.0
3.834	9.7
3.829	8.4
3.823	8.0
3.818	9.6
3.813	13.3
3.807	16.3
3.802	16.9
3.797	16.1
3.791	16.7
3.786	21.5
3.781	25.7
3.775	24.4
3.770	20.7
3.765	18.3
3.759	18.3
3.754	18.9
3.749	18.0
3.743	15.6
3.738	12.7
3.733	10.4
3.727	8.8
3.722	8.4
3.717	9.6
3.711	13.0
3.706	16.2
3.701	17.3
3.695	16.7
3.690	16.7
3.685	20.2
3.679	25.2
3.674	26.0
3.669	23.1
3.663	20.1
3.658	19.2
3.653	19.5
3.647	19.1
3.642	17.2
3.637	14.5
3.632	11.7
3.626	9.7
3.621	8.5
3.616	8.4
3.610	10.2
3.605	14.0
3.600	16.8
3.594	17.3
3.589	16.5
3.584	16.6
3.578	19.9
3.573	24.2
3.568	25.0
3.562	23.1
3.557	20.4
3.552	19.5
3.546	19.6
3.541	19.2
3.536	17.5
3.530	15.0
3.525	12.5
3.520	10.5
3.514	9.2
3.509	8.7
3.504	9.6
3.498	12.7
3.493	16.0
3.488	17.7
3.482	17.4
3.477	16.8
3.472	18.4
3.466	22.9
3.461	26.0
3.456	25.4
3.450	22.7
3.445	20.4
3.440	19.7
3.434	19.7
3.429	19.3
3.424	17.9
3.418	15.4
3.413	12.8
3.408	10.8
3.402	9.4
3.397	8.8
3.392	9.6
3.386	11.9
3.381	15.0
3.376	16.9
3.370	17.6
3.365	17.1
3.360	17.8
3.354	20.8
3.349	23.8
3.344	24.6
3.338	23.5
3.333	21.2
3.328	19.9
3.322	19.6
3.317	19.5
3.312	18.8
3.306	17.1
3.301	14.6
3.296	12.2
3.291	10.1
3.285	8.9
3.280	8.4
3.275	9.2
3.269	11.1
3.264	13.2
3.259	14.5
3.253	14.9
3.248	14.9
3.243	16.4
3.237	20.2
3.232	24.4
3.227	25.9
3.221	24.8
3.216	22.4
3.211	20.8
3.205	20.4
3.200	20.4
3.195	20.0
3.189	18.6
3.184	16.4
3.179	13.9
3.173	11.7
3.168	10.1
3.163	9.2
3.157	9.2
3.152	10.8
3.147	14.1
3.141	17.3
3.136	18.7
3.131	18.3
3.125	17.6
3.120	18.4
3.115	22.0
3.109	26.1
3.104	28.0
3.099	26.5
3.093	23.8
3.088	21.9
3.083	21.3
3.077	21.3
3.072	21.1
3.067	19.9
3.061	17.9
3.056	15.3
3.051	13.0
3.045	11.1
3.040	9.9
3.035	9.5
3.029	10.3
3.024	12.8
3.019	16.3
3.013	19.0
3.008	19.7
3.003	18.9
2.997	18.3
2.992	19.7
2.987	23.7
2.981	27.7
2.976	29.3
2.971	27.7
2.965	24.8
2.960	22.5
2.955	21.6
2.949	21.6
2.944	21.7
2.939	20.8
2.933	19.0
2.928	16.6
2.923	14.1
2.917	11.9
2.912	10.4
2.907	9.5
2.901	9.5
2.896	10.9
2.891	14.1
2.885	17.5
2.880	19.7
2.875	20.0
2.869	19.2
2.864	18.6
2.859	20.0
2.853	23.9
2.848	28.0
2.843	30.0
2.837	28.8
2.832	26.0
2.827	23.5
2.821	22.3
2.816	22.2
2.811	22.2
2.805	21.7
2.800	20.3
2.795	18.0
2.789	15.3
2.784	12.8
2.779	10.8
2.773	9.6
2.768	9.0
2.763	9.4
2.757	11.0
2.752	14.2
2.747	18.0
2.741	20.4
2.736	22.2
2.731	20.7
2.725	19.5
2.720	20.1
2.715	23.1
2.709	26.7
2.704	29.1
2.699	29.4
2.693	27.6
2.688	24.5
2.683	22.1
2.677	21.3
2.672	21.3
2.667	21.7
2.661	21.4
2.656	20.1
2.651	18.1
2.645	15.7
2.640	13.3
2.635	11.5
2.629	10.2
2.624	9.5
2.619	9.5
2.613	10.7
2.608	13.3
2.602	17.0
2.597	20.1
2.592	21.5
2.586	21.1
2.581	19.9
2.576	19.0
2.570	20.2
2.565	24.0
2.560	28.5
2.554	31.2
2.549	31.0
2.544	28.4
2.538	25.4
2.533	23.0
