&a 	I1
5.459	0.2
5.454	0.2
5.449	0.2
5.443	0.2
5.438	0.2
5.433	0.2
5.428	0.1
5.422	0.1
5.417	0.1
5.412	0.1
5.406	0.1
5.401	0.1
5.396	0.1
5.390	0.1
5.385	0.1
5.380	0.1
5.375	0.1
5.369	0.1
5.364	0.1
5.359	0.1
5.353	0.1
5.348	0.1
5.343	0.1
5.337	0.1
5.332	0.1
5.327	0.1
5.322	0.1
5.316	0.1
5.311	0.1
5.306	0.1
5.300	0.1
5.295	0.1
5.290	0.1
5.284	0.1
5.279	0.1
5.274	0.1
5.269	0.1
5.263	0.1
5.258	0.1
5.253	0.1
5.247	0.1
5.242	0.2
5.237	0.2
5.231	0.2
5.226	0.2
5.221	0.2
5.216	0.2
5.210	0.2
5.205	0.2
5.200	0.2
5.194	0.2
5.189	0.2
5.184	0.2
5.178	0.2
5.173	0.2
5.168	0.2
5.162	0.2
5.157	0.3
5.152	0.3
5.147	0.3
5.141	0.3
5.136	0.4
5.131	0.4
5.125	0.4
5.120	0.4
5.115	0.4
5.109	0.4
5.104	0.4
5.099	0.4
5.094	0.4
5.088	0.4
5.083	0.4
5.078	0.4
5.072	0.4
5.067	0.4
5.062	0.4
5.056	0.4
5.051	0.4
5.046	0.4
5.040	0.4
5.035	0.4
5.030	0.4
5.025	0.4
5.019	0.4
5.014	0.4
5.009	0.4
5.003	0.4
4.998	0.5
4.993	0.5
4.987	0.5
4.982	0.5
4.977	0.7
4.971	0.7
4.966	0.7
4.961	0.7
4.956	0.7
4.950	0.7
4.945	0.7
4.940	0.8
4.934	0.8
4.929	0.8
4.924	0.8
4.918	0.8
4.913	0.8
4.908	0.8
4.902	0.9
4.897	0.9
4.892	0.9
4.887	0.9
4.881	0.9
4.876	0.9
4.871	0.9
4.865	0.9
4.860	1.2
4.855	1.3
4.849	1.6
4.844	1.6
4.839	1.6
4.833	1.6
4.828	1.7
4.823	1.7
4.818	1.7
4.812	1.7
4.807	1.7
4.802	1.6
4.796	1.6
4.791	1.6
4.786	1.9
4.780	2.3
4.775	2.7
4.770	2.8
4.764	3.0
4.759	3.2
4.754	3.3
4.748	3.3
4.743	3.3
4.738	3.3
4.733	3.2
4.727	2.8
4.722	2.4
4.717	2.3
4.711	2.4
4.706	2.8
4.701	3.2
4.695	3.6
4.690	4.0
4.685	4.7
4.679	5.1
4.674	5.2
4.669	5.2
4.663	5.2
4.658	5.0
4.653	4.6
4.648	4.0
4.642	3.6
4.637	3.2
4.632	3.2
4.626	3.6
4.621	4.4
4.616	5.2
4.610	6.0
4.605	6.7
4.600	7.1
4.594	7.5
4.589	7.5
4.584	7.4
4.578	7.2
4.573	6.8
4.568	5.9
4.563	5.1
4.557	4.4
4.552	4.1
4.547	4.4
4.541	5.2
4.536	6.4
4.531	7.3
4.525	8.3
4.520	9.5
4.515	10.2
4.509	10.0
4.504	9.3
4.499	8.8
4.493	8.8
4.488	8.1
4.483	6.9
4.478	5.6
4.472	4.8
4.467	4.8
4.462	5.5
4.456	6.8
4.451	8.4
4.446	9.6
4.440	10.8
4.435	12.4
4.430	13.7
4.424	13.6
4.419	12.7
4.414	12.2
4.408	11.7
4.403	10.4
4.398	8.5
4.392	6.9
4.387	5.8
4.382	5.6
4.377	6.2
4.371	7.9
4.366	10.0
4.361	11.6
4.355	12.7
4.350	14.7
4.345	16.7
4.339	16.9
4.334	15.6
4.329	14.7
4.323	14.3
4.318	12.8
4.313	10.4
4.307	8.1
4.302	6.6
4.297	6.0
4.291	6.1
4.286	7.7
4.281	10.4
4.275	12.8
4.270	13.8
4.265	14.9
4.260	17.6
4.254	19.6
4.249	18.8
4.244	17.2
4.238	16.7
4.233	16.3
4.228	13.9
4.222	10.8
4.217	8.4
4.212	6.9
4.206	6.4
4.201	6.7
4.196	8.4
4.190	11.6
4.185	14.0
4.180	15.2
4.174	16.8
4.169	19.4
4.164	20.8
4.158	19.6
4.153	18.3
4.148	18.3
4.143	18.1
4.137	15.6
4.132	12.0
4.127	9.2
4.121	7.4
4.116	6.6
4.111	6.6
4.105	8.1
4.100	11.7
4.095	15.3
4.089	16.3
4.084	17.2
4.079	20.7
4.073	24.7
4.068	23.9
4.063	20.8
4.057	19.6
4.052	20.0
4.047	18.3
4.041	14.3
4.036	10.8
4.031	8.4
4.025	7.2
4.020	6.8
4.015	7.2
4.009	9.7
4.004	14.0
3.999	16.9
3.994	17.3
3.988	18.6
3.983	23.3
3.978	26.8
3.972	24.7
3.967	21.5
3.962	20.8
3.956	21.1
3.951	18.7
3.946	14.7
3.940	11.1
3.935	8.7
3.930	7.5
3.924	7.1
3.919	7.5
3.914	9.8
3.908	13.8
3.903	16.8
3.898	17.6
3.892	18.7
3.887	23.4
3.882	28.3
3.876	27.1
3.871	23.2
3.866	21.6
3.860	22.3
3.855	20.7
3.850	16.8
3.844	12.8
3.839	10.0
3.834	8.0
3.829	7.2
3.823	7.2
3.818	8.4
3.813	12.0
3.807	16.4
3.802	18.7
3.797	18.8
3.791	20.4
3.786	26.1
3.781	29.6
3.775	26.7
3.770	22.8
3.765	21.9
3.759	22.1
3.754	20.2
3.749	16.7
3.743	13.1
3.738	10.3
3.733	8.5
3.727	7.6
3.722	7.4
3.717	8.3
3.711	11.5
3.706	16.3
3.701	19.1
3.695	19.4
3.690	20.2
3.685	25.1
3.679	30.1
3.674	28.8
3.669	24.8
3.663	23.0
3.658	23.5
3.653	22.6
3.647	19.2
3.642	15.2
3.637	11.8
3.632	9.4
3.626	8.0
3.621	7.2
3.616	7.2
3.610	8.8
3.605	12.8
3.600	17.6
3.594	19.5
3.589	19.3
3.584	20.3
3.578	25.1
3.573	28.9
3.568	27.3
3.562	24.2
3.557	23.0
3.552	23.6
3.546	22.8
3.541	19.6
3.536	15.6
3.530	12.4
3.525	10.0
3.520	8.4
3.514	7.6
3.509	7.6
3.504	8.4
3.498	11.6
3.493	16.3
3.488	19.3
3.482	19.8
3.477	19.9
3.472	23.2
3.466	28.8
3.461	29.9
3.456	27.1
3.450	24.0
3.445	23.6
3.440	23.7
3.434	22.1
3.429	18.9
3.424	15.4
3.418	12.3
3.413	10.0
3.408	8.6
3.402	7.9
3.397	7.8
3.392	8.6
3.386	11.2
3.381	15.2
3.376	18.0
3.370	19.3
3.365	19.7
3.360	22.4
3.354	27.0
3.349	28.3
3.344	26.3
3.338	23.9
3.333	23.1
3.328	23.5
3.322	22.7
3.317	20.3
3.312	17.1
3.306	13.9
3.301	11.4
3.296	9.5
3.291	8.3
3.285	7.8
3.280	7.7
3.275	8.6
3.269	10.8
3.264	13.7
3.259	15.5
3.253	16.2
3.248	16.7
3.243	19.4
3.237	24.7
3.232	28.3
3.227	27.5
3.221	25.1
3.216	23.8
