I_A1 / A	B_B1 / mT
0.00	0
-0.01	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
-0.01	0
-0.01	0
-0.01	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
-0.01	-1
0.00	0
0.00	0
0.00	0
0.35	23
0.77	53
0.98	68
1.11	77
1.33	93
1.33	93
1.08	77
1.23	86
1.11	79
1.23	86
1.37	96
1.63	115
1.59	113
1.76	125
1.70	122
1.93	138
1.96	141
2.31	166
2.29	167
2.45	176
2.47	178
2.60	188
2.65	192
3.01	218
2.95	214
3.00	217
3.20	232
3.14	229
3.31	240
3.23	236
3.39	246
3.44	250
3.55	258
3.68	268
3.64	266
3.76	274
3.77	275
3.87	281
3.99	290
4.12	299
4.28	312
4.26	311
4.44	323
4.55	331
4.52	329
4.89	354
4.78	349
4.95	358
4.91	357
4.97	360
5.05	365
5.16	373
5.22	377
5.35	385
5.33	384
5.39	388
5.54	397
5.77	411
5.77	411
5.80	413
5.91	418
5.88	418
5.99	423
6.01	424
6.07	427
6.07	427
6.09	428
6.09	428
6.21	434
6.21	434
6.27	437
6.37	442
6.37	442
6.39	443
6.49	448
6.56	451
6.61	453
6.76	459
6.66	456
6.70	457
7.14	473
7.02	469
7.07	471
7.13	473
7.15	474
7.22	477
7.26	478
7.35	481
7.36	481
7.68	491
7.71	492
7.71	493
7.95	499
7.92	498
8.05	502
8.07	502
8.19	505
8.19	506
8.21	506
8.29	509
8.29	508
8.38	511
8.39	511
8.39	511
8.21	507
8.27	508
8.27	508
8.26	508
8.27	509
8.54	515
8.52	514
8.53	515
8.54	515
8.63	517
8.60	517
8.78	520
8.77	520
8.89	523
8.87	523
9.02	527
9.01	526
9.15	530
9.26	532
9.34	534
9.54	538
9.51	538
9.51	538
9.61	540
9.59	539
9.70	542
9.77	543
9.77	543
9.87	545
9.88	546
9.96	547
9.96	548
9.96	549
9.96	549
9.96	549
9.96	549
9.96	549
9.96	549
9.96	549
9.96	549
9.96	549
9.96	548
9.96	549
9.96	549
9.96	549
9.96	548
9.87	546
9.78	544
9.78	545
9.81	544
9.81	545
9.81	544
9.80	544
9.81	544
9.81	545
9.81	545
9.81	544
9.81	544
9.81	545
9.81	544
9.81	545
9.81	544
9.81	545
9.81	544
9.81	543
9.81	543
9.81	543
9.81	543
9.81	543
9.81	543
9.81	543
9.81	543
9.80	543
9.80	543
