I_A1 / A	B_B1 / mT
0.00	0
0.00	-1
0.00	0
-0.01	0
0.00	0
0.00	0
0.00	0
0.00	0
-0.01	0
0.00	0
0.00	0
0.00	0
0.00	0
-0.01	-1
0.00	0
0.00	0
0.00	-1
0.00	0
0.00	0
0.00	0
0.00	0
0.00	0
0.00	-1
0.00	0
0.12	8
0.60	41
0.81	56
1.13	81
1.34	97
1.50	109
1.74	127
1.71	125
1.71	126
1.71	125
1.61	119
1.67	123
1.64	120
1.66	122
1.63	121
1.66	122
1.68	123
1.68	123
1.71	126
1.70	125
1.91	140
1.93	142
2.05	152
2.33	172
2.29	170
2.42	179
2.77	206
2.88	214
2.91	216
2.89	216
3.03	225
3.07	228
3.22	240
3.16	236
3.24	241
3.25	242
3.27	243
3.31	245
3.49	260
3.56	264
3.71	276
3.75	279
3.85	286
3.95	293
3.89	290
3.93	292
4.02	299
4.06	302
4.03	301
4.10	306
4.10	306
4.24	315
4.39	326
4.39	327
4.35	324
4.23	317
4.29	319
4.23	317
4.30	320
4.29	320
4.42	328
4.85	358
4.89	361
4.98	368
5.06	373
5.22	384
5.39	396
5.34	393
5.57	407
5.67	413
5.77	419
5.77	419
5.89	426
5.98	432
6.01	433
6.02	433
6.10	437
6.19	442
6.42	454
6.35	451
6.37	452
6.35	452
6.37	452
6.35	451
6.36	452
6.37	452
7.01	479
7.08	483
7.13	485
7.26	488
7.31	490
7.34	491
7.58	499
7.58	499
7.73	504
7.85	508
7.91	510
7.92	510
7.95	511
8.00	512
8.00	513
8.09	515
8.08	515
8.11	516
8.22	519
8.21	518
8.25	519
8.25	520
8.34	522
8.35	523
8.35	522
8.35	522
8.50	526
8.51	527
8.66	531
8.66	531
8.66	531
8.76	533
8.75	533
8.97	538
8.97	539
8.96	538
8.93	538
8.93	537
8.94	538
8.95	538
8.97	539
9.15	543
9.33	547
9.39	549
9.56	552
9.73	556
9.75	557
9.82	558
9.91	560
9.92	561
9.98	562
9.98	564
9.98	564
9.98	565
9.98	567
9.98	568
9.98	568
9.98	569
9.98	569
9.98	569
9.98	570
9.98	571
9.98	572
9.98	572
9.98	573
9.98	574
9.98	574
9.98	574
9.98	575
9.98	575
9.98	575
9.98	577
9.98	578
9.98	577
9.98	578
9.98	578
9.98	578
9.98	578
9.98	577
9.98	578
9.98	578
9.98	577
9.98	578
9.98	578
9.98	575
9.98	576
9.98	575
