&a 	I1
5.459	0.0
5.454	0.0
5.449	0.0
5.443	0.0
5.438	0.0
5.433	0.0
5.428	0.0
5.422	0.0
5.417	0.0
5.412	0.0
5.406	0.0
5.401	0.0
5.396	0.0
5.390	0.0
5.385	0.0
5.380	0.0
5.375	0.0
5.369	0.0
5.364	0.0
5.359	0.0
5.353	0.0
5.348	0.0
5.343	0.0
5.337	0.0
5.332	0.0
5.327	0.0
5.322	0.0
5.316	0.0
5.311	0.0
5.306	0.0
5.300	0.0
5.295	0.0
5.290	0.0
5.284	0.0
5.279	0.0
5.274	0.0
5.269	0.0
5.263	0.0
5.258	0.0
5.253	0.0
5.247	0.0
5.242	0.0
5.237	0.0
5.231	0.0
5.226	0.0
5.221	0.0
5.216	0.0
5.210	0.0
5.205	0.0
5.200	0.0
5.194	0.0
5.189	0.0
5.184	0.0
5.178	0.0
5.173	0.0
5.168	0.0
5.162	0.0
5.157	0.0
5.152	0.0
5.147	0.0
5.141	0.0
5.136	0.0
5.131	0.0
5.125	0.0
5.120	0.0
5.115	0.0
5.109	0.0
5.104	0.0
5.099	0.0
5.094	0.0
5.088	0.0
5.083	0.0
5.078	0.0
5.072	0.0
5.067	0.0
5.062	0.0
5.056	0.0
5.051	0.0
5.046	0.0
5.040	0.0
5.035	0.0
5.030	0.0
5.025	0.0
5.019	0.0
5.014	0.0
5.009	0.1
5.003	0.1
4.998	0.1
4.993	0.1
4.987	0.1
4.982	0.1
4.977	0.1
4.971	0.1
4.966	0.1
4.961	0.1
4.956	0.1
4.950	0.1
4.945	0.1
4.940	0.1
4.934	0.2
4.929	0.3
4.924	0.3
4.918	0.3
4.913	0.3
4.908	0.3
4.902	0.3
4.897	0.3
4.892	0.3
4.887	0.3
4.881	0.3
4.876	0.3
4.871	0.3
4.865	0.3
4.860	0.4
4.855	0.4
4.849	0.4
4.844	0.4
4.839	0.4
4.833	0.4
4.828	0.4
4.823	0.4
4.818	0.4
4.812	0.4
4.807	0.4
4.802	0.4
4.796	0.4
4.791	0.4
4.786	0.4
4.780	0.4
4.775	0.4
4.770	0.5
4.764	0.7
4.759	0.7
4.754	0.7
4.748	0.6
4.743	0.6
4.738	0.6
4.733	0.6
4.727	0.6
4.722	0.6
4.717	0.6
4.711	0.6
4.706	0.7
4.701	0.8
4.695	0.8
4.690	0.9
4.685	1.0
4.679	1.1
4.674	1.1
4.669	1.1
4.663	1.1
4.658	1.1
4.653	1.1
4.648	1.1
4.642	1.1
4.637	1.1
4.632	1.1
4.626	1.1
4.621	1.2
4.616	1.3
4.610	1.5
4.605	1.6
4.600	2.0
4.594	2.4
4.589	2.4
4.584	2.5
4.578	2.5
4.573	2.3
4.568	2.0
4.563	2.0
4.557	1.6
4.552	1.6
4.547	1.5
4.541	1.5
4.536	1.5
4.531	1.6
4.525	2.0
4.520	2.4
4.515	2.8
4.509	3.6
4.504	4.0
4.499	4.1
4.493	4.1
4.488	3.9
4.483	3.5
4.478	2.8
4.472	2.4
4.467	2.0
4.462	1.8
4.456	1.8
4.451	1.8
4.446	2.1
4.440	2.4
4.435	2.8
4.430	3.4
4.424	4.6
4.419	5.9
4.414	6.7
4.408	6.7
4.403	5.9
4.398	4.7
4.392	3.6
4.387	2.8
4.382	2.4
4.377	2.0
4.371	2.0
4.366	2.0
4.361	2.4
4.355	2.8
4.350	3.2
4.345	3.6
4.339	4.7
4.334	6.3
4.329	7.9
4.323	8.7
4.318	7.9
4.313	6.4
4.307	4.9
4.302	3.8
4.297	3.3
4.291	2.8
4.286	2.7
4.281	2.7
4.275	2.8
4.270	2.9
4.265	3.3
4.260	3.7
4.254	4.8
4.249	6.0
4.244	8.0
4.238	9.9
4.233	10.6
4.228	9.4
4.222	7.6
4.217	6.0
4.212	4.8
4.206	4.0
4.201	3.6
4.196	3.2
4.190	3.2
4.185	3.2
4.180	3.6
4.174	4.0
4.169	4.4
4.164	5.6
4.158	7.4
4.153	9.1
4.148	11.0
4.143	12.0
4.137	11.2
4.132	9.6
4.127	8.0
4.121	6.8
4.116	5.6
4.111	4.8
4.105	4.4
4.100	4.0
4.095	4.0
4.089	4.0
4.084	4.4
4.079	5.2
4.073	6.4
4.068	8.0
4.063	10.0
4.057	11.6
4.052	12.8
4.047	13.2
4.041	12.8
4.036	11.6
4.031	10.4
4.025	8.8
4.020	7.6
4.015	6.4
4.009	5.3
4.004	4.8
3.999	4.7
3.994	4.8
3.988	5.2
3.983	6.0
3.978	7.6
3.972	9.5
3.967	11.5
3.962	12.7
3.956	13.2
3.951	13.5
3.946	14.0
3.940	14.2
3.935	13.4
3.930	11.8
3.924	9.8
3.919	8.1
3.914	6.8
3.908	5.9
3.903	5.5
3.898	5.5
3.892	5.9
3.887	6.8
3.882	8.3
3.876	10.3
3.871	12.3
3.866	13.6
3.860	14.0
3.855	13.7
3.850	14.1
3.844	15.6
3.839	16.3
3.834	15.2
3.829	12.9
3.823	10.5
3.818	8.5
3.813	7.1
3.807	6.3
3.802	6.0
3.797	6.0
3.791	6.6
3.786	7.9
3.781	9.7
3.775	11.7
3.770	13.6
3.765	14.4
3.759	14.4
3.754	14.4
3.749	15.0
3.743	16.5
3.738	17.7
3.733	17.3
3.727	15.1
3.722	12.4
3.717	9.7
3.711	8.0
3.706	6.8
3.701	6.4
3.695	6.4
3.690	6.8
3.685	8.0
3.679	10.0
3.674	12.4
3.669	14.8
3.663	16.0
3.658	16.0
3.653	15.7
3.647	16.3
3.642	17.1
3.637	17.9
3.632	17.9
3.626	16.7
3.621	14.1
3.616	11.3
3.610	8.9
3.605	7.3
3.600	6.5
3.594	6.4
3.589	6.5
3.584	7.2
3.578	8.6
3.573	10.8
3.568	13.6
3.562	16.0
3.557	16.8
3.552	16.8
3.546	16.8
3.541	17.6
3.536	18.3
3.530	18.4
3.525	17.6
3.520	16.0
3.514	13.9
3.509	11.6
3.504	9.6
3.498	8.0
3.493	6.8
3.488	6.4
3.482	6.7
3.477	7.5
3.472	8.7
3.466	10.7
3.461	13.5
3.456	16.3
3.450	17.9
3.445	18.0
3.440	18.0
3.434	18.4
3.429	19.3
3.424	19.8
3.418	19.1
3.413	17.2
3.408	14.9
3.402	12.5
3.397	10.4
3.392	8.5
3.386	7.2
3.381	6.4
3.376	6.1
3.370	6.4
3.365	7.2
3.360	8.4
3.354	10.3
3.349	12.8
3.344	15.8
3.338	18.2
3.333	18.9
3.328	18.9
3.322	19.4
3.317	20.2
3.312	20.2
3.306	19.4
3.301	17.4
3.296	15.0
3.291	12.4
3.285	10.3
3.280	8.3
3.275	6.8
3.269	5.8
3.264	5.3
3.259	5.3
3.253	5.9
3.248	7.1
3.243	8.8
3.237	11.2
3.232	14.0
3.227	17.2
3.221	19.4
3.216	19.9
3.211	20.1
3.205	21.0
3.200	21.9
3.195	21.8
3.189	20.2
3.184	17.6
3.179	14.8
3.173	12.1
3.168	10.0
3.163	8.4
3.157	7.2
3.152	6.3
3.147	5.9
3.141	5.9
3.136	6.3
3.131	7.0
3.125	8.4
3.120	10.4
3.115	13.2
3.109	16.8
3.104	20.0
3.099	21.6
3.093	22.0
3.088	22.3
3.083	23.2
3.077	23.6
3.072	22.9
3.067	20.5
3.061	17.3
3.056	14.2
3.051	11.6
3.045	9.5
3.040	7.9
3.035	6.8
3.029	6.0
3.024	5.6
3.019	5.6
3.013	5.9
3.008	6.4
3.003	7.5
2.997	9.2
2.992	11.8
2.987	15.3
2.981	19.1
2.976	22.3
2.971	23.6
2.965	24.0
2.960	24.2
2.955	24.9
2.949	25.0
2.944	23.2
2.939	20.2
2.933	16.8
2.928	13.6
2.923	10.8
2.917	8.8
2.912	7.3
2.907	6.4
2.901	5.7
2.896	5.3
2.891	5.3
2.885	5.5
2.880	5.9
2.875	6.6
2.869	7.9
2.864	9.9
2.859	12.8
2.853	16.4
2.848	20.7
2.843	24.0
2.837	25.3
2.832	25.6
2.827	26.3
2.821	27.0
2.816	26.6
2.811	24.4
2.805	20.8
2.800	16.8
2.795	13.5
2.789	10.6
2.784	8.6
2.779	7.1
2.773	6.1
2.768	5.4
2.763	5.1
2.757	5.1
2.752	5.2
2.747	5.5
2.741	6.0
2.736	7.0
2.731	8.2
2.725	10.2
2.720	13.2
2.715	16.6
2.709	20.6
2.704	24.0
2.699	26.4
2.693	27.2
2.688	28.3
2.683	28.8
2.677	27.7
2.672	24.9
2.667	20.9
2.661	17.2
2.656	13.8
2.651	11.0
2.645	8.9
2.640	7.3
2.635	6.4
2.629	5.6
2.624	5.2
2.619	4.9
2.613	4.9
2.608	4.9
2.602	5.2
2.597	5.6
2.592	6.4
2.586	7.2
2.581	8.8
2.576	11.2
2.570	14.8
2.565	19.6
2.560	24.6
2.554	28.3
2.549	29.8
2.544	30.2
2.538	30.9
2.533	31.2
