&a / 	I1 /
5.459	0.3
5.454	0.3
5.449	0.3
5.443	0.3
5.438	0.3
5.433	0.3
5.428	0.3
5.422	0.3
5.417	0.3
5.412	0.3
5.406	0.3
5.401	0.3
5.396	0.3
5.390	0.3
5.385	0.3
5.380	0.3
5.375	0.3
5.369	0.3
5.364	0.3
5.359	0.3
5.353	0.3
5.348	0.3
5.343	0.3
5.337	0.3
5.332	0.3
5.327	0.3
5.322	0.3
5.316	0.3
5.311	0.3
5.306	0.3
5.300	0.3
5.295	0.3
5.290	0.3
5.284	0.3
5.279	0.3
5.274	0.3
5.269	0.3
5.263	0.4
5.258	0.4
5.253	0.4
5.247	0.4
5.242	0.4
5.237	0.4
5.231	0.4
5.226	0.4
5.221	0.4
5.216	0.4
5.210	0.4
5.205	0.4
5.200	0.4
5.194	0.4
5.189	0.4
5.184	0.4
5.178	0.4
5.173	0.4
5.168	0.4
5.162	0.4
5.157	0.4
5.152	0.4
5.147	0.4
5.141	0.4
5.136	0.4
5.131	0.4
5.125	0.4
5.120	0.4
5.115	0.4
5.109	0.4
5.104	0.4
5.099	0.4
5.094	0.4
5.088	0.4
5.083	0.4
5.078	0.4
5.072	0.4
5.067	0.4
5.062	0.4
5.056	0.4
5.051	0.4
5.046	0.4
5.040	0.4
5.035	0.4
5.030	0.4
5.025	0.4
5.019	0.4
5.014	0.4
5.009	0.5
5.003	0.5
4.998	0.5
4.993	0.5
4.987	0.5
4.982	0.5
4.977	0.5
4.971	0.6
4.966	0.6
4.961	0.6
4.956	0.6
4.950	0.6
4.945	0.7
4.940	0.7
4.934	0.7
4.929	0.8
4.924	0.8
4.918	0.8
4.913	0.8
4.908	0.8
4.902	0.8
4.897	0.8
4.892	0.8
4.887	0.8
4.881	0.8
4.876	0.8
4.871	0.8
4.865	0.8
4.860	0.8
4.855	0.8
4.849	0.8
4.844	0.8
4.839	0.8
4.833	0.8
4.828	0.8
4.823	0.8
4.818	0.9
4.812	0.9
4.807	0.9
4.802	0.9
4.796	1.0
4.791	1.0
4.786	1.2
4.780	1.2
4.775	1.2
4.770	1.2
4.764	1.2
4.759	1.3
4.754	1.4
4.748	1.4
4.743	1.5
4.738	1.5
4.733	1.5
4.727	1.5
4.722	1.6
4.717	1.6
4.711	1.6
4.706	1.6
4.701	1.7
4.695	1.8
4.690	2.2
4.685	2.2
4.679	2.4
4.674	2.4
4.669	2.5
4.663	2.5
4.658	2.6
4.653	2.7
4.648	2.7
4.642	2.7
4.637	2.8
4.632	2.8
4.626	2.8
4.621	2.8
4.616	3.1
4.610	3.3
4.605	3.6
4.600	3.6
4.594	3.9
4.589	4.0
4.584	4.1
4.578	4.2
4.573	4.2
4.568	4.2
4.563	4.2
4.557	4.2
4.552	4.2
4.547	4.1
4.541	4.0
4.536	4.0
4.531	4.1
4.525	4.4
4.520	4.8
4.515	4.8
4.509	5.2
4.504	5.6
4.499	6.0
4.493	6.4
4.488	6.4
4.483	6.2
4.478	6.1
4.472	6.0
4.467	5.8
4.462	5.5
4.456	5.1
4.451	4.9
4.446	5.3
4.440	5.8
4.435	6.2
4.430	6.4
4.424	6.6
4.419	7.1
4.414	7.9
4.408	8.5
4.403	8.4
4.398	7.8
4.392	7.4
4.387	7.4
4.382	7.4
4.377	7.0
4.371	6.3
4.366	5.8
4.361	5.9
4.355	6.5
4.350	7.3
4.345	7.7
4.339	7.9
4.334	8.2
4.329	9.0
4.323	9.9
4.318	10.2
4.313	9.8
4.307	9.0
4.302	8.6
4.297	8.8
4.291	8.7
4.286	8.0
4.281	7.2
4.275	6.8
4.270	7.0
4.265	7.7
4.260	8.5
4.254	9.1
4.249	9.6
4.244	10.1
4.238	11.1
4.233	12.2
4.228	12.3
4.222	11.5
4.217	10.9
4.212	10.6
4.206	10.6
4.201	10.2
4.196	9.2
4.190	8.4
4.185	8.3
4.180	8.7
4.174	9.1
4.169	9.5
4.164	9.9
4.158	11.0
4.153	12.2
4.148	13.1
4.143	14.0
4.137	14.3
4.132	13.9
4.127	13.3
4.121	12.9
4.116	12.6
4.111	12.1
4.105	11.2
4.100	10.5
4.095	10.3
4.089	10.4
4.084	10.9
4.079	11.3
4.073	11.8
4.068	12.6
4.063	13.9
4.057	15.3
4.052	16.1
4.047	16.4
4.041	16.4
4.036	16.4
4.031	16.4
4.025	16.1
4.020	15.4
4.015	14.4
4.009	13.5
4.004	13.0
3.999	12.9
3.994	12.9
3.988	13.1
3.983	13.1
3.978	13.6
3.972	14.8
3.967	16.4
3.962	17.9
3.956	18.5
3.951	18.2
3.946	18.2
3.940	18.7
3.935	19.2
3.930	19.1
3.924	18.3
3.919	16.8
3.914	15.9
3.908	15.3
3.903	15.2
3.898	15.2
3.892	15.2
3.887	15.0
3.882	15.1
3.876	15.9
3.871	17.7
3.866	19.6
3.860	20.7
3.855	20.4
3.850	19.9
3.844	20.3
3.839	21.3
3.834	22.0
3.829	21.5
3.823	19.9
3.818	18.3
3.813	17.5
3.807	17.3
3.802	17.5
3.797	17.3
3.791	16.8
3.786	16.4
3.781	16.4
3.775	17.5
3.770	19.3
3.765	21.0
3.759	21.8
3.754	21.7
3.749	21.6
3.743	22.1
3.738	23.3
3.733	24.4
3.727	23.9
3.722	22.0
3.717	19.9
3.711	18.6
3.706	18.5
3.701	18.9
3.695	18.9
3.690	18.2
3.685	17.4
3.679	17.4
3.674	18.6
3.669	20.6
3.663	22.5
3.658	23.4
3.653	23.3
3.647	23.2
3.642	23.4
3.637	24.2
3.632	24.9
3.626	24.9
3.621	23.3
3.616	21.1
3.610	19.5
3.605	19.0
3.600	19.2
3.594	19.5
3.589	19.2
3.584	18.2
3.578	17.5
3.573	17.9
3.568	19.6
3.562	21.9
3.557	23.8
3.552	24.3
3.546	23.9
3.541	23.8
3.536	24.4
3.530	25.4
3.525	25.6
3.520	24.8
3.514	23.3
3.509	21.7
3.504	20.5
3.498	20.1
3.493	20.0
3.488	20.0
3.482	19.8
3.477	19.1
3.472	18.6
3.466	18.9
3.461	20.4
3.456	22.6
3.450	24.7
3.445	25.4
3.440	25.1
3.434	24.9
3.429	25.5
3.424	26.8
3.418	27.8
3.413	27.4
3.408	25.3
3.402	22.9
3.397	21.0
3.392	20.2
3.386	19.9
3.381	19.5
3.376	19.4
3.370	19.4
3.365	18.7
3.360	18.4
3.354	18.9
3.349	20.1
3.344	22.2
3.338	24.5
3.333	25.5
3.328	25.5
3.322	25.2
3.317	25.6
3.312	26.9
3.306	28.1
3.301	28.1
3.296	26.3
3.291	23.4
3.285	21.2
3.280	19.8
3.275	18.7
3.269	17.9
3.264	17.3
3.259	16.9
3.253	16.5
3.248	16.5
3.243	17.3
3.237	18.9
3.232	21.3
3.227	24.1
3.221	26.1
3.216	26.7
3.211	26.4
3.205	26.3
3.200	27.1
3.195	28.4
3.189	29.2
3.184	28.8
3.179	26.8
3.173	23.9
3.168	21.9
3.163	20.7
3.157	20.0
3.152	19.6
3.147	19.2
3.141	19.1
3.136	18.9
3.131	18.5
3.125	18.6
3.120	19.5
3.115	21.5
3.109	24.1
3.104	26.7
3.099	28.2
3.093	28.2
3.088	27.4
3.083	27.5
3.077	28.6
3.072	29.9
3.067	30.5
3.061	29.6
3.056	27.0
3.051	24.0
3.045	22.0
3.040	21.2
3.035	20.8
3.029	20.4
3.024	20.0
3.019	19.6
3.013	19.2
3.008	18.8
3.003	18.6
2.997	19.3
2.992	21.0
2.987	23.5
2.981	26.3
2.976	28.6
2.971	29.4
2.965	28.9
2.960	28.1
2.955	28.4
2.949	29.6
2.944	30.8
2.939	31.2
2.933	30.0
2.928	27.1
2.923	24.0
2.917	22.0
2.912	21.2
2.907	20.7
2.901	20.1
2.896	19.5
2.891	19.1
2.885	18.9
2.880	18.8
2.875	18.6
2.869	19.0
2.864	20.2
2.859	22.3
2.853	24.8
2.848	27.4
2.843	29.4
2.837	30.2
2.832	29.7
2.827	29.2
2.821	29.6
2.816	30.9
2.811	32.0
2.805	31.9
2.800	30.3
2.795	27.6
2.789	24.6
2.784	22.4
2.779	21.2
2.773	20.3
2.768	19.1
2.763	18.3
