,I,deg_l,deg_l_err,deg_m,deg_m_err,deg_r,deg_r_err,sig_l,sig_l_err,sig_m,sig_m_err,sig_r,sig_r_err
0,4.7,-0.014403761676953737,2.110350584939766e-05,-0.013056799068923671,1.7580879267128248e-05,-0.011501674867194228,3.0546671568230674e-05,0.000509755584687705,1.5009056362947134e-05,0.0005881829472417183,2.021353963473973e-05,0.001325013387927586,3.8605701191180166e-05
1,5.2,-0.01446581291220663,2.5967501967821456e-05,-0.012981568789543695,1.5667352211562945e-05,-0.011159754955960988,2.919657928395135e-05,0.0005338060990416536,1.9877784122742898e-05,0.0006703999452659225,2.2811680505431365e-05,0.0011421556754155917,3.892016732883765e-05
2,5.7,-0.014646899604143178,1.557717191352687e-05,-0.013120591206911893,1.1207447066781049e-05,-0.011244982732293905,1.5052680528660472e-05,0.0005769032316766393,1.6751072658154222e-05,0.0006537457598647059,1.2750621643093845e-05,0.0012027313736213848,2.293729555274005e-05
3,6.0,-0.014641694297403572,4.281993836297131e-05,-0.013085384836450538,3.389888260556395e-05,-0.011219459458589962,4.045595314251296e-05,0.0006310220464880548,5.624170847378433e-05,0.0006330490434702976,3.488741331415313e-05,0.0012454077403470313,7.158127756941657e-05
4,6.3,-0.014756543586554812,1.4838937394653796e-05,-0.013074058512393827,1.0346188569095555e-05,-0.011020835890374475,1.626863222016309e-05,0.0005921425960737405,1.9918766794811167e-05,0.0007180588108057941,1.3912398698387986e-05,0.0011200335254384906,2.5889053176592116e-05
5,6.7,-0.014690150393459092,1.415308365360512e-05,-0.01291116424881439,1.1437923556370018e-05,-0.010773255195968964,1.6527400757802052e-05,0.000589406965684773,1.8149335990430443e-05,0.0007475080506270009,1.5232004393059683e-05,0.0010556853089017043,3.0520791080763856e-05
6,7.0,-0.014769475796439717,5.109595317057096e-05,-0.012942400094176833,3.8448905354839446e-05,-0.010839991864341193,6.12671356289981e-05,0.0006645991847248929,9.119273155817319e-05,0.0007283190192389146,5.02351919195845e-05,0.0010321203678408683,9.243386813651159e-05
7,7.3,-0.014826870153442686,1.673321545940916e-05,-0.012952063891236166,1.3415449041284863e-05,-0.010733941597744061,2.0230289230772976e-05,0.0006255597691394077,2.941047345408881e-05,0.0007732247692418369,1.7934625133726612e-05,0.0010261938620264664,3.464994864582373e-05
8,7.8,-0.014816004777436744,2.130045815146147e-05,-0.012874909414902063,1.7306725421220896e-05,-0.010558425272571689,2.468869702719153e-05,0.0006359243724107764,4.1105600782942635e-05,0.00078818982547,2.236994699528591e-05,0.0010583359597294095,4.74309653350278e-05
9,7.9,-0.01474975893844179,1.9633271809448945e-05,-0.012819806489516925,1.6384238109140895e-05,-0.010458695248290382,2.3437516412280603e-05,0.0006202297779081632,2.9639151551032068e-05,0.0007752129566374777,1.9825683081232315e-05,0.0011271255136702382,3.2422566460799636e-05
