&a / °	I1 / %
2.736	11.3
2.733	11.3
2.731	11.3
2.728	11.3
2.725	11.2
2.723	11.2
2.720	11.2
2.717	11.1
2.715	11.1
2.712	11.1
2.709	11.1
2.707	11.1
2.704	11.0
2.701	11.1
2.699	11.1
2.696	11.1
2.693	11.1
2.691	11.1
2.688	11.0
2.685	11.0
2.683	11.0
2.680	11.0
2.677	11.0
2.675	11.0
2.672	11.0
2.669	11.0
2.667	11.0
2.664	11.0
2.661	10.9
2.659	10.9
2.656	10.9
2.653	10.9
2.651	10.8
2.648	10.8
2.645	10.8
2.643	10.8
2.640	10.8
2.637	10.8
2.635	10.8
2.632	10.7
2.629	10.7
2.627	10.7
2.624	10.6
2.621	10.6
2.619	10.6
2.616	10.6
2.613	10.6
2.610	10.6
2.608	10.6
2.605	10.6
2.602	10.6
2.600	10.6
2.597	10.6
2.594	10.6
2.592	10.6
2.589	10.6
2.586	10.6
2.584	10.6
2.581	10.6
2.578	10.6
2.576	10.6
2.573	10.6
2.570	10.6
2.568	10.5
2.565	10.5
2.562	10.5
2.560	10.5
2.557	10.5
2.554	10.5
2.552	10.5
2.549	10.5
2.546	10.5
2.544	10.5
2.541	10.5
2.538	10.5
2.536	10.5
2.533	10.5
2.530	10.5
2.528	10.4
2.525	10.4
2.522	10.4
2.520	10.4
2.517	10.4
2.514	10.4
2.512	10.3
2.509	10.3
2.506	10.3
2.504	10.3
2.501	10.3
2.498	10.3
2.496	10.3
2.493	10.3
2.490	10.3
2.488	10.3
2.485	10.3
2.482	10.3
2.480	10.3
2.477	10.3
2.474	10.3
2.472	10.2
2.469	10.2
2.466	10.2
2.464	10.2
2.461	10.2
2.458	10.2
2.456	10.2
2.453	10.2
2.450	10.2
2.448	10.2
2.445	10.2
2.442	10.2
2.440	10.2
2.437	10.1
2.434	10.1
2.432	10.1
2.429	10.2
2.426	10.1
2.424	10.1
2.421	10.1
2.418	10.1
2.416	10.1
2.413	10.1
2.410	10.1
2.408	10.1
2.405	10.1
2.402	10.1
2.400	10.1
2.397	10.1
2.394	10.0
2.392	10.0
2.389	10.0
2.386	10.0
2.384	10.0
2.381	10.0
2.378	10.0
2.376	10.0
2.373	9.9
2.370	9.9
2.368	9.9
2.365	10.0
2.362	9.9
2.360	9.9
2.357	9.9
2.354	9.9
2.352	9.9
2.349	9.9
2.346	9.9
2.344	9.9
2.341	9.9
2.338	9.9
2.336	9.9
2.333	9.9
2.330	9.9
2.328	9.9
2.325	9.8
2.322	9.8
2.320	9.8
2.317	9.8
2.314	9.8
2.312	9.8
2.309	9.8
2.306	9.8
2.304	9.8
2.301	9.7
2.298	9.7
2.296	9.8
2.293	9.7
2.290	9.7
2.288	9.7
2.285	9.7
2.282	9.7
2.280	9.7
2.277	9.7
2.274	9.7
2.272	9.7
2.269	9.7
2.266	9.7
2.264	9.6
2.261	9.6
2.258	9.6
2.256	9.6
2.253	9.6
2.250	9.6
2.248	9.6
2.245	9.6
2.242	9.5
2.240	9.5
2.237	9.5
2.234	9.6
2.231	9.5
2.229	9.5
2.226	9.5
2.223	9.5
2.221	9.5
2.218	9.5
2.215	9.5
2.213	9.4
2.210	9.4
2.207	9.4
2.205	9.4
2.202	9.4
2.199	9.4
2.197	9.4
2.194	9.4
2.191	9.4
2.189	9.4
2.186	9.4
2.183	9.4
2.181	9.4
2.178	9.4
2.175	9.4
2.173	9.4
2.170	9.4
2.167	9.4
2.165	9.4
2.162	9.4
2.159	9.4
2.157	9.4
2.154	9.4
2.151	9.4
2.149	9.3
2.146	9.3
2.143	9.3
2.141	9.3
2.138	9.3
2.135	9.3
2.133	9.3
2.130	9.3
2.127	9.2
2.125	9.3
2.122	9.3
2.119	9.2
2.117	9.2
2.114	9.2
2.111	9.1
2.109	9.1
2.106	9.2
2.103	9.2
2.101	9.1
2.098	9.1
2.095	9.1
2.093	9.1
2.090	9.1
2.087	9.1
2.085	9.1
2.082	9.1
2.079	9.1
2.077	9.1
2.074	9.1
2.071	9.1
2.069	9.1
2.066	9.1
2.063	9.1
2.061	9.1
2.058	9.1
2.055	9.1
2.053	9.0
2.050	9.0
2.047	9.0
2.045	9.1
2.042	9.0
2.039	9.0
2.037	9.0
2.034	9.0
2.031	9.0
2.029	9.0
2.026	9.0
2.023	9.0
2.021	8.9
2.018	8.9
2.015	8.9
2.013	8.9
2.010	8.9
2.007	8.9
2.005	8.9
2.002	8.9
1.999	8.9
1.997	8.9
1.994	8.9
1.991	8.9
1.989	8.9
1.986	8.8
1.983	8.8
1.980	8.8
1.978	8.8
1.975	8.8
1.972	8.8
1.970	8.8
1.967	8.8
1.964	8.7
1.962	8.7
1.959	8.7
1.956	8.7
1.954	8.7
1.951	8.7
1.948	8.7
1.946	8.7
1.943	8.7
1.940	8.7
1.938	8.7
1.935	8.7
1.932	8.7
1.930	8.7
1.927	8.6
1.924	8.6
1.922	8.6
1.919	8.6
1.916	8.7
1.914	8.6
1.911	8.6
1.908	8.6
1.906	8.6
1.903	8.6
1.900	8.5
1.898	8.6
1.895	8.6
1.892	8.6
1.890	8.5
1.887	8.5
1.884	8.6
1.882	8.5
1.879	8.5
1.876	8.6
1.874	8.5
1.871	8.4
1.868	8.4
1.866	8.4
1.863	8.4
1.860	8.4
1.858	8.5
1.855	8.4
1.852	8.4
1.850	8.4
1.847	8.4
1.844	8.3
1.842	8.4
1.839	8.4
1.836	8.4
1.834	8.4
1.831	8.4
1.828	8.4
1.826	8.4
1.823	8.4
1.820	8.4
1.818	8.4
1.815	8.4
1.812	8.4
1.810	8.4
1.807	8.3
1.804	8.3
1.802	8.3
1.799	8.4
1.796	8.3
1.794	8.3
1.791	8.3
1.788	8.3
1.786	8.3
1.783	8.3
1.780	8.3
1.778	8.3
1.775	8.3
1.772	8.3
1.769	8.3
1.767	8.3
1.764	8.3
1.761	8.3
1.759	8.3
1.756	8.3
1.753	8.3
1.751	8.3
1.748	8.2
1.745	8.3
1.743	8.3
1.740	8.2
1.737	8.2
1.735	8.2
1.732	8.2
1.729	8.2
1.727	8.2
1.724	8.2
1.721	8.2
1.719	8.2
1.716	8.2
1.713	8.2
1.711	8.2
1.708	8.2
1.705	8.2
1.703	8.2
1.700	8.1
1.697	8.1
1.695	8.2
