&a / °	I1 / %
2.736	10.4
2.733	10.5
2.731	10.4
2.728	10.4
2.725	10.3
2.723	10.3
2.720	10.3
2.717	10.3
2.715	10.3
2.712	10.3
2.709	10.3
2.707	10.2
2.704	10.2
2.701	10.2
2.699	10.2
2.696	10.2
2.693	10.2
2.691	10.2
2.688	10.2
2.685	10.2
2.683	10.2
2.680	10.2
2.677	10.2
2.675	10.2
2.672	10.2
2.669	10.2
2.667	10.1
2.664	10.1
2.661	10.1
2.659	10.0
2.656	10.0
2.653	10.0
2.651	10.0
2.648	10.0
2.645	9.9
2.643	9.9
2.640	9.9
2.637	9.9
2.635	9.9
2.632	9.9
2.629	9.8
2.627	9.8
2.624	9.7
2.621	9.7
2.619	9.8
2.616	9.8
2.613	9.8
2.610	9.8
2.608	9.8
2.605	9.8
2.602	9.7
2.600	9.8
2.597	9.8
2.594	9.8
2.592	9.8
2.589	9.8
2.586	9.8
2.584	9.7
2.581	9.7
2.578	9.8
2.576	9.7
2.573	9.7
2.570	9.7
2.568	9.7
2.565	9.7
2.562	9.7
2.560	9.7
2.557	9.7
2.554	9.7
2.552	9.7
2.549	9.7
2.546	9.7
2.544	9.6
2.541	9.7
2.538	9.6
2.536	9.6
2.533	9.6
2.530	9.6
2.528	9.6
2.525	9.6
2.522	9.6
2.520	9.6
2.517	9.5
2.514	9.5
2.512	9.5
2.509	9.5
2.506	9.5
2.504	9.5
2.501	9.5
2.498	9.5
2.496	9.5
2.493	9.5
2.490	9.4
2.488	9.4
2.485	9.4
2.482	9.4
2.480	9.4
2.477	9.4
2.474	9.4
2.472	9.4
2.469	9.4
2.466	9.4
2.464	9.4
2.461	9.4
2.458	9.4
2.456	9.4
2.453	9.3
2.450	9.3
2.448	9.3
2.445	9.4
2.442	9.4
2.440	9.3
2.437	9.3
2.434	9.3
2.432	9.3
2.429	9.3
2.426	9.3
2.424	9.3
2.421	9.3
2.418	9.3
2.416	9.3
2.413	9.3
2.410	9.3
2.408	9.3
2.405	9.3
2.402	9.3
2.400	9.2
2.397	9.2
2.394	9.1
2.392	9.2
2.389	9.2
2.386	9.2
2.384	9.1
2.381	9.1
2.378	9.1
2.376	9.1
2.373	9.1
