n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	2
28	0
29	3
30	4
31	5
32	6
33	7
34	10
35	13
36	17
37	16
38	45
39	47
40	94
41	135
42	181
43	222
44	214
45	231
46	213
47	175
48	146
49	96
50	84
51	62
52	36
53	23
54	18
55	10
56	7
57	8
58	9
59	6
60	5
61	1
62	4
63	3
64	4
65	7
66	2
67	4
68	7
69	2
70	8
71	9
72	2
73	5
74	9
75	6
76	6
77	7
78	10
79	11
80	11
81	19
82	12
83	7
84	16
85	6
86	10
87	11
88	12
89	16
90	18
91	27
92	21
93	18
94	14
95	18
96	8
97	18
98	14
99	7
100	13
101	18
102	24
103	27
104	50
105	71
106	77
107	86
108	66
109	61
110	55
111	36
112	28
113	26
114	26
115	32
116	34
117	40
118	45
119	41
120	48
121	51
122	48
123	30
124	26
125	25
126	18
127	32
128	28
129	16
130	27
131	19
132	16
133	14
134	18
135	12
136	11
137	11
138	10
139	10
140	12
141	5
142	11
143	12
144	5
145	9
146	12
147	11
148	8
149	8
150	13
151	17
152	16
153	12
154	13
155	22
156	15
157	15
158	13
159	22
160	8
161	12
162	16
163	13
164	9
165	9
166	5
167	8
168	13
169	14
170	4
171	8
172	13
173	7
174	8
175	11
176	7
177	7
178	16
179	12
180	5
181	9
182	13
183	8
184	9
185	8
186	7
187	7
188	1
189	5
190	3
191	7
192	6
193	5
194	5
195	13
196	6
197	11
198	4
199	10
200	4
201	13
202	11
203	7
204	9
205	12
206	7
207	6
208	6
209	5
210	11
211	6
212	3
213	4
214	5
215	6
216	4
217	2
218	8
219	8
220	5
221	4
222	5
223	5
224	8
225	3
226	5
227	8
228	0
229	1
230	7
231	3
232	5
233	3
234	4
235	2
236	12
237	5
238	8
239	6
240	4
241	4
242	6
243	5
244	8
245	6
246	11
247	4
248	10
249	3
250	3
251	6
252	7
253	2
254	2
255	8
256	1
257	2
258	5
259	4
260	6
261	3
262	1
263	6
264	7
265	7
266	6
267	6
268	3
269	3
270	6
271	5
272	3
273	3
274	3
275	4
276	5
277	6
278	7
279	8
280	12
281	6
282	14
283	45
284	70
285	106
286	151
287	210
288	255
289	187
290	188
291	185
292	117
293	98
294	63
295	32
296	27
297	12
298	5
299	2
300	3
301	3
302	2
303	2
304	2
305	0
306	1
307	5
308	2
309	1
310	1
311	0
312	1
313	3
314	1
315	2
316	3
317	3
318	6
319	10
320	16
321	28
322	26
323	21
324	30
325	16
326	20
327	27
328	17
329	12
330	7
331	3
332	4
333	2
334	3
335	1
336	0
337	0
338	0
339	0
340	1
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	1
354	0
355	0
356	0
357	0
358	1
359	0
360	0
361	0
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	1
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	1
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
