n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	2
26	0
27	4
28	7
29	3
30	6
31	3
32	2
33	5
34	5
35	8
36	18
37	17
38	34
39	56
40	95
41	154
42	166
43	190
44	206
45	217
46	194
47	182
48	112
49	125
50	61
51	46
52	31
53	25
54	18
55	12
56	8
57	9
58	5
59	4
60	9
61	9
62	12
63	6
64	9
65	7
66	6
67	6
68	4
69	13
70	1
71	6
72	7
73	7
74	4
75	4
76	6
77	10
78	12
79	4
80	10
81	11
82	5
83	10
84	14
85	7
86	12
87	14
88	13
89	19
90	21
91	20
92	27
93	19
94	21
95	20
96	14
97	18
98	19
99	16
100	30
101	19
102	25
103	31
104	55
105	73
106	76
107	90
108	87
109	70
110	57
111	43
112	37
113	34
114	32
115	34
116	36
117	38
118	54
119	50
120	48
121	30
122	34
123	23
124	20
125	16
126	21
127	28
128	21
129	17
130	22
131	17
132	17
133	16
134	14
135	13
136	11
137	12
138	8
139	10
140	15
141	17
142	15
143	12
144	11
145	16
146	15
147	8
148	11
149	10
150	15
151	17
152	22
153	15
154	16
155	15
156	11
157	12
158	12
159	13
160	15
161	9
162	15
163	18
164	7
165	8
166	11
167	6
168	8
169	7
170	6
171	4
172	9
173	4
174	7
175	8
176	7
177	9
178	9
179	8
180	12
181	14
182	10
183	9
184	11
185	6
186	5
187	4
188	10
189	4
190	8
191	5
192	6
193	1
194	6
195	9
196	10
197	11
198	7
199	5
200	2
201	6
202	4
203	1
204	3
205	6
206	3
207	7
208	7
209	9
210	8
211	5
212	7
213	9
214	3
215	5
216	4
217	3
218	3
219	3
220	3
221	7
222	6
223	9
224	5
225	2
226	8
227	4
228	4
229	1
230	5
231	2
232	2
233	7
234	2
235	7
236	2
237	4
238	5
239	6
240	4
241	2
242	4
243	9
244	5
245	5
246	1
247	6
248	0
249	4
250	8
251	0
252	5
253	4
254	5
255	2
256	6
257	4
258	3
259	9
260	2
261	5
262	1
263	7
264	6
265	10
266	5
267	5
268	3
269	5
270	5
271	3
272	8
273	11
274	3
275	3
276	4
277	1
278	12
279	7
280	6
281	6
282	12
283	39
284	66
285	113
286	158
287	221
288	240
289	230
290	220
291	161
292	123
293	86
294	54
295	37
296	14
297	6
298	2
299	1
300	2
301	3
302	3
303	0
304	1
305	3
306	1
307	0
308	3
309	0
310	0
311	3
312	3
313	2
314	0
315	2
316	0
317	5
318	5
319	4
320	24
321	28
322	29
323	31
324	31
325	28
326	18
327	13
328	23
329	9
330	5
331	5
332	7
333	2
334	3
335	1
336	0
337	0
338	0
339	0
340	0
341	0
342	1
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	1
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	1
389	0
390	0
391	1
392	0
393	0
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
