n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	0
28	3
29	2
30	1
31	8
32	9
33	6
34	10
35	10
36	19
37	16
38	13
39	18
40	14
41	10
42	14
43	18
44	18
45	15
46	11
47	17
48	17
49	23
50	13
51	15
52	15
53	12
54	19
55	17
56	18
57	16
58	22
59	21
60	14
61	19
62	20
63	20
64	20
65	17
66	14
67	14
68	18
69	21
70	25
71	22
72	13
73	16
74	18
75	22
76	19
77	23
78	14
79	25
80	29
81	34
82	32
83	44
84	36
85	27
86	27
87	31
88	26
89	30
90	35
91	33
92	32
93	46
94	47
95	37
96	39
97	43
98	49
99	42
100	44
101	74
102	81
103	111
104	175
105	220
106	243
107	258
108	252
109	237
110	256
111	284
112	259
113	240
114	205
115	163
116	156
117	127
118	120
119	99
120	87
121	76
122	91
123	119
124	265
125	447
126	734
127	970
128	1145
129	1181
130	1066
131	862
132	671
133	560
134	391
135	268
136	178
137	97
138	59
139	40
140	39
141	33
142	45
143	65
144	58
145	72
146	97
147	172
148	223
149	337
150	490
151	592
152	654
153	673
154	563
155	460
156	372
157	282
158	194
159	136
160	78
161	53
162	32
163	31
164	26
165	18
166	14
167	13
168	15
169	22
170	16
171	15
172	22
173	35
174	31
175	42
176	68
177	72
178	60
179	53
180	49
181	42
182	40
183	28
184	30
185	26
186	13
187	17
188	9
189	9
190	7
191	11
192	6
193	11
194	2
195	5
196	11
197	3
198	7
199	9
200	5
201	3
202	11
203	10
204	5
205	5
206	3
207	5
208	7
209	7
210	10
211	8
212	7
213	6
214	5
215	7
216	5
217	12
218	6
219	9
220	7
221	10
222	12
223	11
224	8
225	10
226	7
227	6
228	4
229	5
230	10
231	5
232	4
233	4
234	3
235	6
236	9
237	6
238	4
239	6
240	7
241	7
242	4
243	8
244	4
245	3
246	12
247	1
248	9
249	3
250	6
251	4
252	4
253	3
254	3
255	4
256	7
257	4
258	5
259	5
260	7
261	5
262	3
263	1
264	4
265	3
266	7
267	6
268	3
269	3
270	4
271	10
272	2
273	3
274	5
275	4
276	6
277	3
278	6
279	3
280	6
281	4
282	3
283	4
284	3
285	4
286	3
287	2
288	4
289	4
290	4
291	4
292	3
293	2
294	0
295	3
296	2
297	0
298	2
299	2
300	2
301	4
302	1
303	2
304	2
305	4
306	4
307	2
308	6
309	0
310	4
311	0
312	4
313	3
314	3
315	3
316	4
317	3
318	1
319	3
320	2
321	2
322	4
323	3
324	6
325	1
326	2
327	1
328	1
329	4
330	2
331	0
332	3
333	2
334	1
335	3
336	0
337	1
338	2
339	0
340	1
341	3
342	4
343	1
344	1
345	0
346	1
347	0
348	0
349	0
350	0
351	1
352	0
353	2
354	1
355	3
356	1
357	2
358	0
359	0
360	1
361	1
362	0
363	0
364	1
365	1
366	1
367	1
368	1
369	1
370	0
371	1
372	0
373	0
374	2
375	0
376	0
377	0
378	0
379	1
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	1
388	0
389	2
390	1
391	1
392	0
393	0
394	0
395	1
396	1
397	0
398	0
399	1
400	0
401	0
402	0
403	1
404	1
405	1
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	1
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
