n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	1
18	1
19	0
20	0
21	3
22	6
23	8
24	7
25	21
26	18
27	27
28	38
29	43
30	44
31	63
32	62
33	96
34	117
35	107
36	114
37	121
38	131
39	135
40	132
41	170
42	145
43	135
44	150
45	148
46	166
47	163
48	174
49	151
50	158
51	174
52	201
53	207
54	214
55	190
56	230
57	223
58	251
59	279
60	260
61	300
62	290
63	318
64	326
65	313
66	294
67	307
68	308
69	356
70	300
71	316
72	335
73	336
74	415
75	571
76	750
77	1325
78	2515
79	4526
80	7846
81	11485
82	14950
83	17179
84	17033
85	15262
86	13000
87	10638
88	8459
89	6890
90	5573
91	4685
92	3920
93	3376
94	2588
95	1963
96	1661
97	1173
98	879
99	548
100	410
101	330
102	293
103	245
104	221
105	252
106	225
107	198
108	188
109	188
110	189
111	185
112	196
113	191
114	163
115	182
116	167
117	174
118	151
119	183
120	157
121	157
122	192
123	215
124	249
125	279
126	332
127	344
128	380
129	399
130	396
131	332
132	364
133	323
134	293
135	255
136	215
137	216
138	160
139	176
140	160
141	137
142	109
143	115
144	94
145	101
146	81
147	81
148	57
149	78
150	85
151	80
152	79
153	68
154	71
155	75
156	80
157	66
158	74
159	94
160	75
161	86
162	94
163	81
164	105
165	94
166	90
167	91
168	86
169	72
170	75
171	67
172	54
173	35
174	39
175	25
176	19
177	21
178	20
179	21
180	18
181	7
182	11
183	15
184	8
185	12
186	3
187	8
188	8
189	8
190	9
191	6
192	8
193	6
194	7
195	3
196	4
197	5
198	7
199	4
200	6
201	6
202	5
203	8
204	9
205	4
206	8
207	9
208	6
209	3
210	2
211	5
212	11
213	4
214	4
215	3
216	2
217	5
218	0
219	4
220	3
221	3
222	3
223	1
224	5
225	4
226	2
227	2
228	6
229	1
230	2
231	0
232	1
233	3
234	0
235	0
236	2
237	5
238	1
239	1
240	3
241	1
242	1
243	2
244	2
245	4
246	1
247	2
248	1
249	1
250	0
251	0
252	1
253	1
254	1
255	1
256	0
257	0
258	0
259	0
260	0
261	0
262	0
263	1
264	1
265	0
266	2
267	1
268	3
269	1
270	0
271	1
272	0
273	1
274	2
275	1
276	0
277	1
278	0
279	0
280	1
281	2
282	1
283	2
284	0
285	0
286	0
287	0
288	1
289	0
290	0
291	0
292	1
293	0
294	2
295	0
296	1
297	1
298	1
299	0
300	1
301	1
302	1
303	1
304	1
305	1
306	0
307	0
308	1
309	1
310	1
311	1
312	0
313	1
314	0
315	1
316	3
317	0
318	0
319	0
320	0
321	0
322	0
323	0
324	2
325	0
326	0
327	0
328	0
329	0
330	1
331	0
332	1
333	0
334	1
335	0
336	0
337	0
338	0
339	0
340	0
341	1
342	1
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	1
352	0
353	0
354	0
355	0
356	0
357	1
358	1
359	0
360	3
361	0
362	0
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	1
388	0
389	0
390	0
391	0
392	0
393	1
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	1
405	0
406	1
407	1
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	1
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
