n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	0
20	2
21	4
22	3
23	5
24	13
25	21
26	8
27	24
28	23
29	32
30	57
31	51
32	56
33	93
34	80
35	88
36	103
37	119
38	139
39	113
40	130
41	131
42	118
43	132
44	133
45	140
46	143
47	128
48	126
49	148
50	140
51	143
52	163
53	171
54	177
55	187
56	184
57	200
58	228
59	203
60	231
61	238
62	273
63	250
64	266
65	263
66	280
67	270
68	242
69	269
70	278
71	281
72	286
73	330
74	360
75	402
76	587
77	902
78	1748
79	3140
80	5582
81	8776
82	11375
83	13871
84	13855
85	12336
86	10786
87	8794
88	7285
89	5798
90	4738
91	4028
92	3364
93	2906
94	2332
95	1815
96	1546
97	1194
98	882
99	649
100	501
101	405
102	337
103	358
104	331
105	366
106	402
107	473
108	620
109	897
110	1210
111	1506
112	1745
113	1602
114	1414
115	1278
116	998
117	795
118	563
119	430
120	335
121	308
122	292
123	334
124	351
125	408
126	400
127	380
128	367
129	335
130	325
131	292
132	276
133	241
134	224
135	196
136	177
137	159
138	128
139	117
140	124
141	113
142	96
143	92
144	76
145	89
146	88
147	71
148	79
149	66
150	75
151	71
152	70
153	74
154	85
155	95
156	96
157	107
158	110
159	108
160	89
161	91
162	83
163	104
164	95
165	87
166	80
167	85
168	69
169	67
170	59
171	46
172	39
173	45
174	42
175	35
176	39
177	34
178	36
179	22
180	15
181	20
182	20
183	18
184	18
185	20
186	11
187	19
188	20
189	10
190	10
191	12
192	17
193	20
194	18
195	17
196	22
197	14
198	13
199	16
200	12
201	16
202	6
203	10
204	5
205	6
206	6
207	5
208	9
209	7
210	6
211	10
212	6
213	5
214	4
215	5
216	9
217	1
218	4
219	3
220	2
221	6
222	3
223	3
224	4
225	4
226	5
227	2
228	3
229	5
230	7
231	2
232	2
233	3
234	2
235	2
236	0
237	2
238	2
239	1
240	4
241	2
242	1
243	1
244	1
245	1
246	0
247	2
248	0
249	1
250	1
251	2
252	0
253	1
254	0
255	0
256	2
257	0
258	0
259	1
260	1
261	0
262	1
263	1
264	2
265	3
266	2
267	0
268	2
269	0
270	2
271	2
272	3
273	2
274	1
275	1
276	0
277	2
278	1
279	0
280	1
281	3
282	0
283	0
284	1
285	1
286	0
287	1
288	2
289	2
290	0
291	0
292	0
293	0
294	0
295	2
296	1
297	0
298	1
299	1
300	0
301	1
302	0
303	1
304	0
305	1
306	3
307	1
308	0
309	1
310	0
311	0
312	2
313	0
314	0
315	2
316	1
317	1
318	0
319	2
320	0
321	0
322	0
323	0
324	0
325	1
326	0
327	0
328	0
329	0
330	1
331	1
332	0
333	1
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	1
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	1
352	1
353	1
354	0
355	0
356	0
357	1
358	0
359	1
360	0
361	0
362	0
363	1
364	0
365	1
366	0
367	0
368	0
369	0
370	1
371	1
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	1
384	1
385	1
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	1
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	1
409	1
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
