n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	1
25	0
26	1
27	2
28	3
29	6
30	4
31	4
32	7
33	10
34	10
35	14
36	12
37	17
38	16
39	26
40	27
41	35
42	53
43	106
44	150
45	204
46	274
47	331
48	364
49	359
50	329
51	297
52	234
53	225
54	170
55	116
56	63
57	49
58	44
59	26
60	17
61	9
62	9
63	6
64	9
65	9
66	3
67	5
68	5
69	8
70	5
71	6
72	6
73	7
74	6
75	4
76	11
77	7
78	7
79	14
80	15
81	9
82	11
83	8
84	11
85	10
86	15
87	9
88	9
89	12
90	7
91	14
92	10
93	12
94	14
95	15
96	17
97	7
98	18
99	16
100	23
101	24
102	37
103	64
104	110
105	201
106	223
107	197
108	192
109	149
110	118
111	118
112	74
113	48
114	49
115	40
116	39
117	57
118	59
119	50
120	52
121	33
122	26
123	19
124	18
125	16
126	17
127	14
128	21
129	15
130	20
131	11
132	8
133	14
134	14
135	8
136	7
137	12
138	9
139	5
140	12
141	11
142	12
143	10
144	9
145	9
146	7
147	9
148	6
149	9
150	12
151	13
152	12
153	13
154	5
155	12
156	8
157	9
158	6
159	9
160	8
161	10
162	8
163	11
164	11
165	6
166	8
167	9
168	5
169	10
170	5
171	8
172	4
173	9
174	5
175	9
176	4
177	10
178	9
179	12
180	5
181	8
182	7
183	8
184	5
185	6
186	7
187	9
188	12
189	4
190	5
191	4
192	4
193	4
194	5
195	6
196	7
197	6
198	4
199	3
200	5
201	4
202	2
203	4
204	1
205	2
206	4
207	3
208	4
209	3
210	4
211	3
212	1
213	3
214	6
215	1
216	3
217	1
218	4
219	7
220	6
221	3
222	5
223	3
224	3
225	2
226	2
227	6
228	6
229	2
230	6
231	0
232	2
233	3
234	6
235	3
236	2
237	3
238	4
239	2
240	1
241	1
242	2
243	7
244	3
245	2
246	2
247	5
248	1
249	3
250	5
251	5
252	3
253	3
254	3
255	3
256	1
257	8
258	0
259	1
260	2
261	1
262	3
263	3
264	3
265	0
266	2
267	2
268	5
269	2
270	3
271	1
272	3
273	4
274	4
275	1
276	0
277	3
278	5
279	0
280	3
281	4
282	4
283	1
284	2
285	1
286	4
287	5
288	2
289	3
290	6
291	5
292	3
293	1
294	2
295	3
296	5
297	4
298	4
299	1
300	2
301	2
302	3
303	3
304	5
305	3
306	4
307	13
308	17
309	28
310	45
311	64
312	83
313	111
314	91
315	88
316	70
317	60
318	31
319	24
320	16
321	8
322	9
323	2
324	2
325	4
326	3
327	1
328	0
329	2
330	0
331	0
332	1
333	2
334	0
335	0
336	1
337	0
338	0
339	0
340	1
341	1
342	0
343	0
344	3
345	1
346	1
347	2
348	9
349	8
350	10
351	14
352	10
353	12
354	7
355	5
356	9
357	0
358	2
359	2
360	0
361	4
362	1
363	1
364	1
365	0
366	0
367	0
368	0
369	1
370	1
371	0
372	0
373	0
374	0
375	0
376	1
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	1
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	1
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
