n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	1
22	0
23	0
24	0
25	2
26	1
27	2
28	2
29	0
30	4
31	6
32	13
33	16
34	13
35	20
36	12
37	14
38	14
39	13
40	19
41	18
42	11
43	13
44	14
45	12
46	13
47	9
48	15
49	18
50	7
51	6
52	12
53	12
54	8
55	10
56	11
57	14
58	6
59	13
60	11
61	10
62	7
63	14
64	11
65	16
66	10
67	12
68	13
69	17
70	15
71	24
72	18
73	30
74	15
75	24
76	11
77	15
78	12
79	24
80	15
81	16
82	22
83	28
84	35
85	35
86	37
87	30
88	32
89	29
90	42
91	28
92	26
93	21
94	28
95	17
96	26
97	23
98	40
99	38
100	44
101	40
102	43
103	43
104	49
105	74
106	69
107	75
108	59
109	48
110	58
111	56
112	41
113	37
114	36
115	34
116	28
117	34
118	28
119	41
120	35
121	40
122	39
123	39
124	35
125	34
126	33
127	63
128	47
129	60
130	49
131	52
132	34
133	35
134	21
135	19
136	10
137	21
138	22
139	38
140	41
141	40
142	47
143	57
144	47
145	28
146	38
147	37
148	31
149	25
150	48
151	51
152	55
153	50
154	36
155	36
156	28
157	28
158	20
159	13
160	10
161	16
162	9
163	9
164	15
165	18
166	12
167	15
168	15
169	20
170	16
171	19
172	12
173	7
174	13
175	16
176	15
177	17
178	22
179	25
180	19
181	25
182	18
183	16
184	26
185	8
186	12
187	15
188	13
189	13
190	10
191	11
192	19
193	9
194	13
195	13
196	8
197	13
198	8
199	11
200	13
201	15
202	17
203	13
204	16
205	18
206	19
207	21
208	16
209	20
210	27
211	16
212	23
213	24
214	20
215	10
216	19
217	17
218	22
219	20
220	17
221	23
222	27
223	46
224	96
225	186
226	366
227	590
228	833
229	995
230	1057
231	926
232	839
233	619
234	485
235	319
236	212
237	123
238	49
239	24
240	12
241	15
242	4
243	14
244	6
245	10
246	9
247	13
248	9
249	7
250	10
251	10
252	22
253	43
254	55
255	105
256	158
257	126
258	145
259	148
260	86
261	87
262	73
263	39
264	32
265	27
266	14
267	6
268	7
269	2
270	0
271	0
272	0
273	1
274	1
275	1
276	0
277	2
278	1
279	0
280	0
281	3
282	1
283	1
284	3
285	4
286	1
287	0
288	0
289	0
290	1
291	0
292	1
293	1
294	1
295	0
296	1
297	0
298	0
299	0
300	0
301	0
302	0
303	1
304	0
305	0
306	1
307	1
308	0
309	0
310	0
311	0
312	2
313	0
314	0
315	2
316	0
317	0
318	0
319	0
320	1
321	0
322	0
323	0
324	1
325	1
326	0
327	3
328	0
329	0
330	0
331	0
332	0
333	0
334	1
335	1
336	1
337	0
338	0
339	1
340	0
341	0
342	1
343	1
344	1
345	0
346	0
347	0
348	1
349	0
350	0
351	0
352	0
353	0
354	2
355	1
356	0
357	0
358	1
359	1
360	0
361	0
362	0
363	0
364	0
365	1
366	0
367	0
368	0
369	0
370	0
371	0
372	1
373	0
374	0
375	0
376	1
377	0
378	0
379	0
380	1
381	1
382	1
383	0
384	1
385	0
386	0
387	0
388	0
389	0
390	0
391	1
392	0
393	0
394	0
395	0
396	1
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	1
434	2
435	0
436	0
437	0
438	1
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
