n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	0
20	0
21	1
22	0
23	4
24	9
25	1
26	15
27	15
28	17
29	19
30	30
31	34
32	50
33	39
34	52
35	57
36	63
37	81
38	76
39	77
40	91
41	78
42	88
43	82
44	94
45	71
46	93
47	93
48	88
49	98
50	87
51	108
52	88
53	79
54	99
55	94
56	95
57	114
58	110
59	103
60	123
61	111
62	133
63	131
64	114
65	139
66	107
67	109
68	136
69	171
70	156
71	143
72	140
73	151
74	171
75	176
76	209
77	187
78	194
79	215
80	247
81	313
82	358
83	445
84	484
85	450
86	423
87	381
88	375
89	368
90	410
91	526
92	806
93	1519
94	2807
95	4888
96	7280
97	8991
98	9608
99	9313
100	7973
101	6727
102	5716
103	5439
104	4726
105	4536
106	3959
107	3668
108	3151
109	2773
110	2233
111	1761
112	1306
113	881
114	636
115	350
116	262
117	173
118	131
119	88
120	80
121	67
122	63
123	46
124	43
125	40
126	48
127	41
128	40
129	37
130	47
131	42
132	40
133	40
134	39
135	41
136	45
137	51
138	43
139	47
140	40
141	49
142	57
143	48
144	50
145	42
146	55
147	75
148	71
149	85
150	91
151	102
152	93
153	122
154	105
155	111
156	107
157	110
158	92
159	87
160	72
161	94
162	83
163	58
164	57
165	60
166	45
167	39
168	41
169	36
170	31
171	36
172	42
173	27
174	27
175	17
176	25
177	38
178	20
179	29
180	26
181	22
182	16
183	17
184	23
185	24
186	26
187	23
188	30
189	33
190	25
191	34
192	33
193	36
194	38
195	40
196	29
197	26
198	32
199	23
200	28
201	15
202	16
203	15
204	16
205	9
206	14
207	14
208	10
209	6
210	5
211	12
212	2
213	8
214	7
215	1
216	6
217	3
218	1
219	0
220	4
221	2
222	2
223	1
224	5
225	4
226	3
227	2
228	1
229	0
230	1
231	2
232	2
233	1
234	3
235	3
236	2
237	2
238	0
239	1
240	0
241	4
242	2
243	4
244	1
245	2
246	2
247	1
248	1
249	0
250	2
251	1
252	2
253	0
254	0
255	2
256	1
257	1
258	2
259	1
260	1
261	1
262	0
263	1
264	0
265	1
266	0
267	2
268	2
269	0
270	3
271	1
272	0
273	0
274	2
275	1
276	0
277	1
278	1
279	1
280	2
281	1
282	0
283	2
284	1
285	1
286	1
287	2
288	0
289	0
290	2
291	0
292	0
293	1
294	1
295	0
296	0
297	0
298	0
299	1
300	1
301	1
302	0
303	1
304	0
305	0
306	0
307	0
308	0
309	0
310	0
311	1
312	0
313	0
314	0
315	0
316	1
317	0
318	0
319	0
320	0
321	2
322	0
323	1
324	0
325	0
326	0
327	0
328	0
329	0
330	1
331	1
332	0
333	1
334	0
335	0
336	0
337	0
338	1
339	0
340	1
341	1
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	1
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	1
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	1
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	1
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	1
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
