n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	2
27	0
28	1
29	3
30	5
31	9
32	5
33	8
34	20
35	14
36	14
37	26
38	26
39	18
40	21
41	23
42	10
43	17
44	23
45	21
46	24
47	18
48	12
49	18
50	19
51	13
52	25
53	21
54	13
55	19
56	21
57	21
58	21
59	14
60	24
61	17
62	18
63	21
64	23
65	18
66	15
67	18
68	17
69	15
70	21
71	23
72	20
73	20
74	16
75	24
76	27
77	28
78	32
79	28
80	20
81	33
82	27
83	30
84	27
85	24
86	24
87	25
88	24
89	34
90	32
91	40
92	40
93	44
94	43
95	49
96	59
97	40
98	58
99	60
100	55
101	70
102	81
103	143
104	241
105	287
106	346
107	377
108	299
109	263
110	215
111	187
112	149
113	117
114	97
115	125
116	140
117	148
118	189
119	200
120	176
121	134
122	154
123	132
124	109
125	102
126	76
127	76
128	63
129	57
130	70
131	63
132	52
133	76
134	117
135	230
136	402
137	680
138	1000
139	1172
140	1249
141	1172
142	976
143	732
144	550
145	386
146	278
147	193
148	103
149	81
150	44
151	48
152	51
153	42
154	54
155	36
156	43
157	36
158	44
159	56
160	72
161	107
162	190
163	257
164	357
165	538
166	662
167	720
168	717
169	613
170	478
171	416
172	279
173	218
174	138
175	73
176	53
177	28
178	29
179	13
180	8
181	8
182	12
183	8
184	7
185	7
186	6
187	7
188	6
189	13
190	12
191	12
192	37
193	40
194	59
195	61
196	52
197	61
198	39
199	50
200	46
201	30
202	24
203	26
204	16
205	13
206	12
207	2
208	7
209	6
210	2
211	2
212	2
213	4
214	6
215	5
216	6
217	4
218	4
219	2
220	4
221	3
222	1
223	1
224	1
225	1
226	3
227	2
228	0
229	3
230	2
231	1
232	1
233	0
234	1
235	3
236	4
237	5
238	1
239	3
240	2
241	5
242	2
243	1
244	2
245	2
246	3
247	2
248	2
249	4
250	0
251	4
252	3
253	3
254	2
255	4
256	3
257	1
258	1
259	1
260	1
261	1
262	2
263	0
264	1
265	0
266	0
267	3
268	1
269	1
270	2
271	2
272	4
273	3
274	1
275	3
276	0
277	0
278	1
279	2
280	0
281	1
282	1
283	2
284	0
285	1
286	0
287	1
288	0
289	0
290	2
291	1
292	0
293	0
294	0
295	2
296	1
297	1
298	0
299	0
300	1
301	1
302	0
303	0
304	0
305	0
306	0
307	1
308	0
309	2
310	0
311	0
312	0
313	2
314	0
315	2
316	2
317	0
318	1
319	0
320	0
321	2
322	2
323	0
324	1
325	2
326	0
327	1
328	0
329	3
330	0
331	1
332	0
333	0
334	0
335	1
336	0
337	0
338	1
339	0
340	0
341	1
342	0
343	0
344	0
345	0
346	0
347	1
348	0
349	0
350	0
351	0
352	1
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	1
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
