n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	1
15	0
16	1
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	0
25	0
26	2
27	3
28	4
29	6
30	3
31	6
32	7
33	17
34	10
35	16
36	15
37	24
38	28
39	22
40	19
41	32
42	35
43	41
44	60
45	109
46	236
47	348
48	433
49	542
50	638
51	656
52	577
53	558
54	457
55	393
56	286
57	191
58	122
59	116
60	74
61	59
62	41
63	23
64	13
65	12
66	15
67	7
68	6
69	8
70	5
71	3
72	5
73	6
74	4
75	10
76	10
77	2
78	6
79	8
80	9
81	4
82	9
83	9
84	12
85	9
86	13
87	6
88	14
89	7
90	7
91	8
92	10
93	12
94	11
95	10
96	13
97	16
98	7
99	16
100	12
101	7
102	21
103	38
104	68
105	134
106	166
107	165
108	126
109	99
110	85
111	75
112	42
113	50
114	38
115	27
116	38
117	44
118	38
119	30
120	34
121	28
122	22
123	19
124	21
125	7
126	11
127	16
128	14
129	14
130	14
131	17
132	16
133	9
134	4
135	7
136	8
137	10
138	15
139	11
140	6
141	7
142	5
143	8
144	5
145	6
146	8
147	11
148	13
149	13
150	11
151	11
152	13
153	9
154	12
155	9
156	3
157	6
158	7
159	15
160	6
161	7
162	10
163	9
164	4
165	10
166	6
167	9
168	10
169	7
170	8
171	7
172	7
173	12
174	9
175	4
176	18
177	5
178	5
179	7
180	6
181	8
182	4
183	4
184	7
185	4
186	10
187	5
188	4
189	8
190	2
191	7
192	1
193	5
194	8
195	3
196	3
197	6
198	2
199	5
200	6
201	3
202	6
203	6
204	4
205	3
206	5
207	7
208	3
209	6
210	8
211	4
212	3
213	5
214	6
215	5
216	4
217	4
218	6
219	3
220	9
221	4
222	4
223	3
224	4
225	2
226	3
227	2
228	2
229	3
230	4
231	1
232	7
233	4
234	2
235	2
236	1
237	6
238	1
239	4
240	2
241	0
242	6
243	6
244	4
245	3
246	3
247	2
248	4
249	5
250	3
251	5
252	2
253	1
254	2
255	5
256	2
257	0
258	1
259	2
260	2
261	3
262	2
263	3
264	1
265	3
266	3
267	5
268	4
269	3
270	4
271	2
272	3
273	2
274	2
275	1
276	5
277	2
278	3
279	2
280	3
281	1
282	3
283	1
284	2
285	6
286	5
287	0
288	4
289	4
290	4
291	4
292	4
293	2
294	3
295	3
296	2
297	2
298	2
299	4
300	3
301	1
302	1
303	4
304	3
305	1
306	2
307	2
308	1
309	1
310	5
311	0
312	2
313	5
314	1
315	1
316	3
317	3
318	1
319	3
320	9
321	24
322	22
323	33
324	39
325	59
326	60
327	48
328	60
329	44
330	37
331	24
332	20
333	11
334	5
335	2
336	2
337	1
338	0
339	1
340	0
341	1
342	0
343	2
344	0
345	0
346	1
347	0
348	1
349	1
350	1
351	1
352	4
353	1
354	0
355	0
356	0
357	0
358	0
359	1
360	1
361	1
362	6
363	8
364	8
365	6
366	9
367	9
368	6
369	9
370	1
371	4
372	5
373	1
374	3
375	5
376	0
377	2
378	1
379	0
380	0
381	0
382	0
383	0
384	1
385	0
386	0
387	0
388	1
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	1
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
