n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	1
23	0
24	5
25	6
26	2
27	12
28	17
29	33
30	43
31	37
32	60
33	70
34	68
35	96
36	141
37	141
38	176
39	173
40	180
41	171
42	154
43	162
44	142
45	151
46	148
47	146
48	137
49	158
50	155
51	167
52	163
53	191
54	219
55	301
56	627
57	1365
58	2772
59	4903
60	7146
61	8340
62	8399
63	7414
64	6481
65	5450
66	4396
67	3598
68	2294
69	1527
70	1014
71	665
72	398
73	283
74	168
75	90
76	56
77	35
78	34
79	37
80	23
81	38
82	43
83	34
84	23
85	44
86	40
87	43
88	45
89	53
90	42
91	69
92	86
93	103
94	74
95	91
96	77
97	66
98	40
99	56
100	35
101	39
102	53
103	66
104	73
105	97
106	108
107	86
108	67
109	54
110	53
111	45
112	42
113	27
114	24
115	28
116	32
117	33
118	23
119	24
120	31
121	26
122	20
123	23
124	17
125	22
126	17
127	11
128	12
129	10
130	14
131	12
132	7
133	7
134	4
135	3
136	4
137	6
138	4
139	4
140	1
141	3
142	6
143	2
144	4
145	3
146	3
147	1
148	8
149	7
150	3
151	4
152	3
153	3
154	4
155	4
156	2
157	6
158	2
159	3
160	7
161	3
162	5
163	9
164	6
165	9
166	6
167	10
168	3
169	3
170	1
171	3
172	2
173	4
174	0
175	4
176	3
177	2
178	3
179	3
180	3
181	2
182	2
183	3
184	1
185	2
186	2
187	1
188	3
189	2
190	4
191	2
192	2
193	0
194	1
195	3
196	1
197	2
198	2
199	2
200	4
201	3
202	2
203	3
204	2
205	4
206	5
207	3
208	3
209	3
210	1
211	1
212	1
213	2
214	1
215	3
216	2
217	5
218	2
219	2
220	0
221	1
222	0
223	2
224	2
225	4
226	0
227	0
228	3
229	2
230	0
231	2
232	6
233	1
234	1
235	1
236	2
237	3
238	2
239	3
240	1
241	3
242	1
243	1
244	4
245	2
246	1
247	1
248	3
249	0
250	1
251	2
252	1
253	2
254	2
255	1
256	2
257	1
258	0
259	4
260	2
261	1
262	1
263	2
264	1
265	2
266	1
267	4
268	1
269	2
270	0
271	2
272	2
273	0
274	0
275	2
276	0
277	1
278	0
279	0
280	1
281	1
282	2
283	2
284	3
285	2
286	1
287	1
288	1
289	3
290	0
291	0
292	1
293	0
294	0
295	0
296	2
297	0
298	1
299	0
300	1
301	2
302	0
303	1
304	1
305	0
306	0
307	0
308	0
309	2
310	2
311	0
312	0
313	0
314	4
315	0
316	2
317	0
318	0
319	1
320	1
321	0
322	0
323	0
324	0
325	0
326	1
327	0
328	0
329	0
330	1
331	0
332	1
333	1
334	0
335	0
336	0
337	1
338	1
339	0
340	1
341	1
342	0
343	0
344	1
345	0
346	0
347	0
348	1
349	0
350	1
351	0
352	1
353	2
354	1
355	0
356	0
357	0
358	5
359	0
360	0
361	1
362	0
363	0
364	0
365	2
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	1
375	0
376	1
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	1
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	1
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
