n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	1
19	0
20	0
21	0
22	0
23	6
24	6
25	6
26	19
27	26
28	37
29	58
30	43
31	56
32	83
33	89
34	125
35	139
36	142
37	157
38	163
39	186
40	177
41	161
42	171
43	165
44	173
45	180
46	189
47	206
48	191
49	185
50	184
51	184
52	196
53	208
54	203
55	211
56	200
57	196
58	214
59	182
60	187
61	204
62	217
63	202
64	251
65	229
66	246
67	227
68	215
69	239
70	203
71	208
72	233
73	235
74	231
75	231
76	261
77	227
78	218
79	242
80	246
81	280
82	303
83	308
84	295
85	334
86	290
87	318
88	324
89	299
90	283
91	280
92	322
93	292
94	313
95	272
96	308
97	319
98	350
99	388
100	610
101	861
102	1757
103	2894
104	4073
105	5051
106	5290
107	4941
108	4412
109	3621
110	3232
111	3064
112	3127
113	2971
114	2844
115	2512
116	2203
117	1800
118	1411
119	1081
120	827
121	537
122	391
123	302
124	219
125	203
126	183
127	176
128	145
129	122
130	88
131	87
132	57
133	42
134	43
135	27
136	28
137	47
138	40
139	42
140	42
141	24
142	36
143	20
144	24
145	19
146	17
147	16
148	22
149	15
150	13
151	23
152	15
153	19
154	17
155	19
156	28
157	26
158	17
159	21
160	25
161	35
162	29
163	45
164	46
165	55
166	49
167	46
168	56
169	39
170	42
171	29
172	45
173	27
174	35
175	26
176	21
177	24
178	20
179	21
180	12
181	11
182	10
183	18
184	8
185	16
186	11
187	12
188	14
189	14
190	10
191	9
192	15
193	13
194	9
195	10
196	12
197	14
198	5
199	8
200	11
201	9
202	9
203	9
204	11
205	7
206	11
207	2
208	8
209	6
210	19
211	9
212	11
213	8
214	4
215	9
216	8
217	12
218	7
219	5
220	5
221	9
222	4
223	8
224	3
225	4
226	3
227	5
228	2
229	5
230	3
231	1
232	2
233	1
234	1
235	0
236	2
237	0
238	2
239	1
240	2
241	2
242	1
243	0
244	1
245	0
246	1
247	0
248	2
249	1
250	1
251	0
252	2
253	0
254	1
255	1
256	0
257	1
258	1
259	0
260	0
261	1
262	1
263	1
264	0
265	2
266	0
267	4
268	0
269	0
270	1
271	0
272	1
273	0
274	1
275	0
276	0
277	0
278	0
279	1
280	0
281	0
282	0
283	0
284	0
285	0
286	0
287	1
288	0
289	0
290	1
291	2
292	0
293	1
294	1
295	0
296	1
297	0
298	2
299	0
300	1
301	0
302	1
303	0
304	0
305	1
306	1
307	0
308	0
309	1
310	0
311	0
312	1
313	1
314	0
315	1
316	0
317	0
318	0
319	0
320	1
321	0
322	1
323	0
324	0
325	0
326	0
327	0
328	0
329	0
330	0
331	0
332	0
333	0
334	0
335	0
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	0
363	0
364	1
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	1
406	0
407	1
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	1
