n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	1
27	2
28	0
29	5
30	3
31	3
32	4
33	16
34	9
35	12
36	16
37	17
38	19
39	15
40	17
41	35
42	18
43	19
44	19
45	19
46	18
47	28
48	18
49	28
50	24
51	25
52	23
53	25
54	18
55	20
56	19
57	24
58	21
59	28
60	26
61	22
62	27
63	20
64	30
65	19
66	20
67	32
68	31
69	40
70	44
71	55
72	56
73	92
74	80
75	60
76	56
77	48
78	50
79	40
80	45
81	38
82	34
83	27
84	46
85	43
86	36
87	50
88	35
89	53
90	47
91	50
92	45
93	47
94	62
95	86
96	104
97	96
98	104
99	118
100	100
101	95
102	75
103	92
104	110
105	147
106	229
107	389
108	680
109	1069
110	1403
111	1512
112	1568
113	1259
114	1016
115	746
116	632
117	432
118	279
119	169
120	102
121	105
122	114
123	186
124	353
125	573
126	762
127	945
128	1069
129	1057
130	984
131	925
132	790
133	661
134	480
135	344
136	235
137	144
138	97
139	53
140	37
141	30
142	28
143	41
144	36
145	44
146	53
147	82
148	104
149	96
150	98
151	102
152	93
153	76
154	59
155	65
156	42
157	38
158	21
159	18
160	19
161	7
162	6
163	9
164	4
165	5
166	0
167	3
168	5
169	4
170	2
171	4
172	5
173	7
174	4
175	4
176	4
177	1
178	1
179	2
180	3
181	6
182	4
183	5
184	7
185	6
186	4
187	5
188	2
189	4
190	4
191	3
192	1
193	4
194	3
195	6
196	5
197	4
198	3
199	5
200	3
201	3
202	2
203	2
204	4
205	3
206	5
207	9
208	3
209	0
210	6
211	5
212	8
213	7
214	11
215	7
216	7
217	7
218	10
219	4
220	8
221	9
222	9
223	8
224	3
225	1
226	2
227	1
228	1
229	3
230	1
231	3
232	2
233	2
234	3
235	0
236	2
237	4
238	1
239	0
240	6
241	0
242	1
243	2
244	2
245	0
246	1
247	3
248	1
249	0
250	1
251	1
252	2
253	1
254	0
255	0
256	3
257	2
258	2
259	0
260	1
261	1
262	2
263	1
264	1
265	0
266	2
267	0
268	2
269	0
270	0
271	0
272	1
273	1
274	1
275	0
276	2
277	0
278	0
279	1
280	0
281	0
282	0
283	1
284	2
285	1
286	2
287	1
288	1
289	2
290	1
291	1
292	2
293	1
294	0
295	0
296	0
297	0
298	1
299	2
300	0
301	1
302	1
303	0
304	0
305	0
306	0
307	0
308	0
309	1
310	0
311	0
312	0
313	0
314	0
315	0
316	0
317	0
318	1
319	2
320	0
321	0
322	0
323	0
324	2
325	0
326	0
327	1
328	0
329	1
330	0
331	1
332	1
333	0
334	0
335	0
336	0
337	0
338	1
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	1
349	0
350	0
351	0
352	1
353	1
354	0
355	0
356	0
357	1
358	0
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	0
367	0
368	0
369	0
370	0
371	0
372	0
373	0
374	0
375	0
376	1
377	1
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
