n_2	N_2
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	1
20	0
21	0
22	1
23	0
24	5
25	2
26	8
27	8
28	6
29	7
30	10
31	11
32	26
33	29
34	46
35	30
36	43
37	44
38	31
39	63
40	44
41	56
42	61
43	42
44	50
45	46
46	59
47	56
48	51
49	58
50	55
51	31
52	52
53	53
54	57
55	65
56	58
57	71
58	68
59	76
60	61
61	82
62	85
63	73
64	91
65	79
66	58
67	69
68	87
69	83
70	80
71	86
72	93
73	65
74	77
75	79
76	67
77	67
78	84
79	85
80	81
81	100
82	117
83	100
84	105
85	119
86	122
87	111
88	97
89	130
90	120
91	147
92	126
93	130
94	126
95	127
96	132
97	116
98	164
99	133
100	142
101	187
102	213
103	271
104	324
105	379
106	407
107	514
108	796
109	1426
110	2499
111	4011
112	6101
113	7257
114	7495
115	6885
116	5699
117	4443
118	3427
119	2478
120	1771
121	1126
122	897
123	750
124	866
125	1051
126	1128
127	1030
128	838
129	688
130	539
131	420
132	263
133	161
134	99
135	66
136	51
137	28
138	19
139	17
140	17
141	12
142	14
143	18
144	10
145	17
146	9
147	11
148	8
149	14
150	18
151	10
152	16
153	21
154	14
155	8
156	12
157	9
158	10
159	7
160	8
161	10
162	12
163	10
164	17
165	9
166	7
167	17
168	16
169	30
170	30
171	27
172	30
173	50
174	35
175	48
176	50
177	49
178	39
179	42
180	30
181	30
182	36
183	15
184	26
185	26
186	19
187	14
188	16
189	18
190	22
191	23
192	22
193	8
194	11
195	9
196	12
197	12
198	9
199	9
200	17
201	10
202	8
203	11
204	10
205	12
206	6
207	9
208	6
209	14
210	12
211	4
212	11
213	8
214	4
215	9
216	9
217	10
218	9
219	13
220	13
221	8
222	11
223	7
224	12
225	15
226	11
227	8
228	6
229	15
230	5
231	4
232	4
233	7
234	4
235	2
236	6
237	3
238	3
239	5
240	5
241	1
242	2
243	3
244	1
245	0
246	2
247	1
248	0
249	1
250	2
251	1
252	1
253	1
254	1
255	1
256	0
257	1
258	1
259	1
260	0
261	1
262	0
263	1
264	1
265	0
266	1
267	0
268	0
269	0
270	0
271	0
272	3
273	0
274	1
275	0
276	2
277	0
278	0
279	0
280	0
281	0
282	1
283	1
284	0
285	0
286	3
287	0
288	0
289	1
290	0
291	1
292	1
293	0
294	0
295	0
296	0
297	0
298	2
299	1
300	0
301	0
302	0
303	0
304	0
305	0
306	0
307	1
308	1
309	0
310	0
311	1
312	0
313	1
314	0
315	1
316	1
317	0
318	0
319	2
320	0
321	0
322	0
323	0
324	0
325	1
326	0
327	1
328	0
329	0
330	0
331	0
332	0
333	0
334	1
335	1
336	0
337	0
338	0
339	0
340	0
341	0
342	0
343	0
344	0
345	0
346	0
347	0
348	0
349	0
350	0
351	1
352	1
353	0
354	0
355	0
356	0
357	0
358	0
359	0
360	0
361	0
362	1
363	0
364	0
365	0
366	0
367	0
368	1
369	1
370	0
371	0
372	0
373	0
374	0
375	1
376	0
377	0
378	0
379	0
380	0
381	0
382	0
383	0
384	0
385	0
386	0
387	0
388	0
389	0
390	0
391	0
392	0
393	0
394	0
395	0
396	0
397	0
398	0
399	0
400	0
401	0
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	0
416	0
417	0
418	0
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	2
