n_1	N_1
0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	1
24	0
25	0
26	1
27	0
28	1
29	3
30	6
31	8
32	6
33	14
34	11
35	19
36	10
37	20
38	17
39	12
40	14
41	24
42	14
43	14
44	15
45	14
46	18
47	15
48	17
49	26
50	10
51	19
52	13
53	27
54	15
55	10
56	16
57	12
58	15
59	21
60	13
61	15
62	17
63	12
64	13
65	24
66	25
67	19
68	20
69	19
70	19
71	25
72	19
73	17
74	25
75	32
76	23
77	16
78	22
79	15
80	34
81	28
82	34
83	46
84	44
85	55
86	50
87	54
88	43
89	31
90	45
91	42
92	35
93	27
94	37
95	46
96	47
97	50
98	49
99	47
100	41
101	60
102	65
103	83
104	116
105	124
106	164
107	158
108	148
109	155
110	112
111	136
112	111
113	92
114	91
115	114
116	125
117	123
118	116
119	126
120	99
121	70
122	70
123	63
124	53
125	51
126	69
127	65
128	73
129	83
130	81
131	56
132	56
133	50
134	36
135	34
136	43
137	33
138	27
139	21
140	19
141	24
142	33
143	28
144	24
145	28
146	21
147	25
148	36
149	44
150	61
151	70
152	56
153	74
154	82
155	58
156	51
157	44
158	36
159	30
160	30
161	23
162	14
163	24
164	24
165	18
166	26
167	16
168	23
169	13
170	13
171	22
172	24
173	20
174	17
175	27
176	27
177	28
178	17
179	27
180	27
181	23
182	37
183	28
184	33
185	30
186	38
187	26
188	26
189	26
190	28
191	36
192	34
193	19
194	22
195	29
196	24
197	34
198	35
199	33
200	56
201	68
202	126
203	263
204	517
205	877
206	1290
207	1566
208	1707
209	1569
210	1316
211	1078
212	740
213	553
214	327
215	227
216	124
217	62
218	25
219	29
220	13
221	10
222	15
223	16
224	21
225	18
226	23
227	28
228	57
229	103
230	150
231	196
232	238
233	241
234	216
235	162
236	143
237	119
238	66
239	55
240	37
241	19
242	12
243	14
244	1
245	0
246	2
247	1
248	1
249	2
250	1
251	1
252	1
253	2
254	1
255	1
256	0
257	1
258	2
259	1
260	0
261	0
262	1
263	2
264	1
265	0
266	1
267	0
268	3
269	2
270	1
271	0
272	1
273	0
274	3
275	1
276	2
277	1
278	0
279	2
280	1
281	2
282	1
283	0
284	0
285	1
286	0
287	1
288	1
289	0
290	1
291	0
292	2
293	1
294	0
295	2
296	1
297	0
298	1
299	0
300	1
301	0
302	0
303	1
304	3
305	2
306	2
307	0
308	2
309	0
310	3
311	1
312	1
313	1
314	1
315	3
316	2
317	3
318	1
319	3
320	3
321	0
322	1
323	0
324	1
325	1
326	1
327	0
328	0
329	1
330	0
331	0
332	0
333	0
334	2
335	0
336	0
337	1
338	1
339	0
340	1
341	0
342	2
343	0
344	2
345	0
346	0
347	2
348	1
349	2
350	0
351	0
352	0
353	0
354	0
355	0
356	0
357	0
358	1
359	0
360	0
361	0
362	0
363	0
364	0
365	0
366	2
367	1
368	2
369	0
370	1
371	0
372	1
373	0
374	0
375	0
376	0
377	0
378	0
379	0
380	0
381	1
382	0
383	0
384	1
385	0
386	0
387	1
388	0
389	0
390	0
391	2
392	1
393	0
394	1
395	1
396	0
397	1
398	0
399	0
400	0
401	1
402	0
403	0
404	0
405	0
406	0
407	0
408	0
409	0
410	0
411	0
412	0
413	0
414	0
415	1
416	0
417	0
418	1
419	0
420	0
421	0
422	0
423	0
424	0
425	0
426	0
427	0
428	0
429	0
430	0
431	0
432	0
433	0
434	0
435	0
436	0
437	0
438	0
439	0
440	0
441	0
442	0
443	0
444	0
445	0
446	0
447	0
448	0
449	0
450	0
451	0
452	0
453	0
454	0
455	0
456	0
457	0
458	0
459	0
460	0
461	0
462	0
463	0
464	0
465	0
466	0
467	0
468	0
469	0
470	0
471	0
472	0
473	0
474	0
475	0
476	0
477	0
478	0
479	0
480	0
481	0
482	0
483	0
484	0
485	0
486	0
487	0
488	0
489	0
490	0
491	0
492	0
493	0
494	0
495	0
496	0
497	0
498	0
499	0
500	0
501	0
502	0
503	0
504	0
505	0
506	0
507	0
508	0
509	0
510	0
511	0
