# resolution = 200, averages = 50
# angle	intensity
40.070 2.34567
40.094 2.35891
40.119 2.37684
40.144 2.38208
40.169 2.38364
40.193 2.40661
40.218 2.41516
40.243 2.41564
40.267 2.41080
40.292 2.40247
40.317 2.39329
40.341 2.39956
40.366 2.40604
40.391 2.39989
40.416 2.39764
40.440 2.39797
40.465 2.38408
40.490 2.38040
40.514 2.37553
40.539 2.35453
40.564 2.33951
40.589 2.34873
40.613 2.38763
40.638 2.39953
40.663 2.38333
40.687 2.37000
40.712 2.37264
40.737 2.37982
40.762 2.37571
40.786 2.37361
40.811 2.37149
40.836 2.35332
40.861 2.36218
40.885 2.35518
40.910 2.35050
40.935 2.34382
40.960 2.35260
40.984 2.35341
41.009 2.35735
41.034 2.35309
41.058 2.33643
41.083 2.33301
41.108 2.35413
41.133 2.36951
41.157 2.36400
41.182 2.35786
41.207 2.35937
41.232 2.34839
41.256 2.34032
41.281 2.34292
41.306 2.33346
41.331 2.32769
41.355 2.33089
41.380 2.32861
41.405 2.31116
41.430 2.28830
41.454 2.26479
41.479 2.26339
41.504 2.29647
41.529 2.30889
41.553 2.32897
41.578 2.32185
41.603 2.31741
41.628 2.28525
41.652 2.24736
41.677 2.25345
41.702 2.26104
41.727 2.28751
41.752 2.29790
41.776 2.30747
41.801 2.29409
41.826 2.28438
41.851 2.27501
41.875 2.25687
41.900 2.24311
41.925 2.21837
41.950 2.20619
41.974 2.20669
41.999 2.21394
42.024 2.23540
42.049 2.22543
42.074 2.21144
42.098 2.19588
42.123 2.18885
42.148 2.18270
42.173 2.17902
42.197 2.17942
42.222 2.19193
42.247 2.21473
42.272 2.22348
42.296 2.22380
42.321 2.22668
42.346 2.21921
42.371 2.22472
42.396 2.22583
42.420 2.22840
42.445 2.25001
42.470 2.25863
42.495 2.24632
42.520 2.25789
42.544 2.28281
42.569 2.27226
42.594 2.27512
42.619 2.31752
42.643 2.30813
42.668 2.31214
42.693 2.32587
42.718 2.34838
42.743 2.35968
42.767 2.35991
42.792 2.35380
42.817 2.35052
42.842 2.34859
42.867 2.35722
42.891 2.35745
42.916 2.37694
42.941 2.39421
42.966 2.39025
42.991 2.37906
43.015 2.39073
43.040 2.39967
43.065 2.42016
43.090 2.41594
43.115 2.37942
43.139 2.36934
43.164 2.37651
43.189 2.35558
43.214 2.36920
43.239 2.38243
43.263 2.34569
43.288 2.32720
43.313 2.31568
43.338 2.30341
43.363 2.27240
43.387 2.24254
43.412 2.20391
43.437 2.13438
43.462 2.08371
43.487 2.05452
43.511 2.04543
43.536 2.02252
43.561 1.99030
43.586 1.96270
43.611 1.93816
43.635 1.91862
43.660 1.86673
43.685 1.85626
43.710 1.84348
43.735 1.82685
43.759 1.82803
43.784 1.83661
43.809 1.81097
43.834 1.82315
43.859 1.82340
43.883 1.82524
43.908 1.82881
43.933 1.85922
43.958 1.89059
43.983 1.89010
44.007 1.89541
44.032 1.88634
44.057 1.88379
44.082 1.89360
44.107 1.87070
44.132 1.87295
44.156 1.93118
44.181 1.95366
44.206 1.96557
44.231 1.96740
44.256 1.96368
44.280 1.98405
44.305 1.99616
44.330 2.01139
44.355 2.04578
44.380 2.07616
44.404 2.08818
44.429 2.10689
44.454 2.09238
44.479 2.11006
44.504 2.14449
44.529 2.15758
44.553 2.15630
44.578 2.16418
44.603 2.16594
44.628 2.17396
44.653 2.17341
44.677 2.19052
44.702 2.21849
44.727 2.23539
44.752 2.24329
44.777 2.22091
44.801 2.24021
44.826 2.22712
44.851 2.22544
44.876 2.23700
44.901 2.23643
44.926 2.23641
44.950 2.24767
44.975 2.24919
45.000 2.22606
