# resolution = 200, averages = 50
# angle	intensity
40.070 3.61114
40.094 3.61379
40.119 3.63725
40.144 3.63776
40.169 3.60793
40.193 3.61369
40.218 3.56984
40.243 3.53763
40.267 3.52406
40.292 3.51949
40.317 3.49783
40.341 3.49114
40.366 3.50013
40.391 3.48753
40.416 3.48370
40.440 3.47153
40.465 3.49658
40.490 3.48979
40.514 3.46276
40.539 3.45887
40.564 3.43829
40.589 3.43642
40.613 3.43630
40.638 3.41997
40.663 3.43264
40.687 3.44476
40.712 3.43724
40.737 3.40987
40.762 3.42186
40.786 3.39463
40.811 3.36440
40.836 3.36382
40.861 3.34897
40.885 3.34377
40.910 3.33227
40.935 3.34035
40.960 3.34903
40.984 3.35037
41.009 3.33722
41.034 3.33297
41.058 3.33752
41.083 3.35088
41.108 3.39746
41.133 3.40449
41.157 3.38720
41.182 3.38374
41.207 3.39356
41.232 3.37402
41.256 3.34284
41.281 3.35610
41.306 3.35369
41.331 3.36377
41.355 3.38648
41.380 3.43098
41.405 3.43704
41.430 3.41043
41.454 3.38757
41.479 3.40398
41.504 3.37060
41.529 3.34788
41.553 3.35174
41.578 3.40894
41.603 3.45753
41.628 3.41363
41.652 3.40478
41.677 3.38742
41.702 3.37251
41.727 3.40770
41.752 3.41595
41.776 3.41052
41.801 3.39679
41.826 3.41179
41.851 3.36440
41.875 3.37247
41.900 3.37323
41.925 3.35739
41.950 3.35200
41.974 3.34462
41.999 3.35396
42.024 3.36583
42.049 3.37722
42.074 3.38655
42.098 3.40288
42.123 3.41506
42.148 3.34602
42.173 3.32125
42.197 3.31208
42.222 3.31787
42.247 3.33661
42.272 3.30818
42.296 3.31377
42.321 3.31857
42.346 3.34389
42.371 3.34630
42.396 3.33459
42.420 3.31240
42.445 3.32112
42.470 3.31456
42.495 3.32596
42.520 3.34379
42.544 3.36665
42.569 3.37087
42.594 3.33735
42.619 3.31849
42.643 3.33979
42.668 3.41378
42.693 3.41988
42.718 3.36253
42.743 3.36815
42.767 3.35133
42.792 3.37434
42.817 3.34435
42.842 3.35381
42.867 3.38316
42.891 3.37652
42.916 3.34871
42.941 3.37732
42.966 3.35833
42.991 3.35536
43.015 3.40015
43.040 3.44639
43.065 3.43293
43.090 3.39117
43.115 3.37658
43.139 3.38450
43.164 3.48492
43.189 3.50133
43.214 3.52026
43.239 3.51879
43.263 3.49905
43.288 3.52173
43.313 3.50783
43.338 3.49777
43.363 3.47350
43.387 3.49999
43.412 3.56589
43.437 3.57570
43.462 3.55683
43.487 3.59288
43.511 3.58247
43.536 3.60377
43.561 3.62710
43.586 3.62524
43.611 3.63155
43.635 3.66377
43.660 3.71590
43.685 3.74933
43.710 3.77746
43.735 3.79066
43.759 3.82245
43.784 3.81193
43.809 3.77316
43.834 3.73516
43.859 3.66843
43.883 3.69869
43.908 3.73307
43.933 3.81497
43.958 3.85647
43.983 3.89010
44.007 3.85088
44.032 3.81126
44.057 3.82427
44.082 3.79718
44.107 3.79316
44.132 3.82565
44.156 3.85591
44.181 3.88562
44.206 3.93719
44.231 3.93822
44.256 3.99559
44.280 3.98687
44.305 3.94452
44.330 3.98386
44.355 3.97058
44.380 3.95673
44.404 3.93009
44.429 3.96153
44.454 3.98353
44.479 4.00730
44.504 3.98460
44.529 3.94936
44.553 3.93922
44.578 3.98811
44.603 4.07279
44.628 4.07819
44.653 4.08034
44.677 4.06904
44.702 4.06397
44.727 4.10434
44.752 4.07503
44.777 4.09838
44.801 4.12525
44.826 4.09981
44.851 4.13725
44.876 4.11775
44.901 4.15741
44.926 4.17090
44.950 4.14999
44.975 4.11910
45.000 4.10447
