# resolution = 200, averages = 50
# angle	intensity
40.070 2.96271
40.094 2.96634
40.119 2.96192
40.144 2.92517
40.169 2.89310
40.193 2.88819
40.218 2.89089
40.243 2.89032
40.267 2.90575
40.292 2.90392
40.317 2.88860
40.341 2.88417
40.366 2.88417
40.391 2.86777
40.416 2.89553
40.440 2.91401
40.465 2.91107
40.490 2.90569
40.514 2.88632
40.539 2.87886
40.564 2.89073
40.589 2.88533
40.613 2.89349
40.638 2.89565
40.663 2.88241
40.687 2.86472
40.712 2.85003
40.737 2.82962
40.762 2.81442
40.786 2.78253
40.811 2.73954
40.836 2.75498
40.861 2.74446
40.885 2.71564
40.910 2.70052
40.935 2.67797
40.960 2.67505
40.984 2.70685
41.009 2.69393
41.034 2.69822
41.058 2.71394
41.083 2.69058
41.108 2.66825
41.133 2.68377
41.157 2.67331
41.182 2.67531
41.207 2.67856
41.232 2.67640
41.256 2.65087
41.281 2.64977
41.306 2.61518
41.331 2.63356
41.355 2.64205
41.380 2.65502
41.405 2.67875
41.430 2.66597
41.454 2.63866
41.479 2.61189
41.504 2.61317
41.529 2.61676
41.553 2.63352
41.578 2.61269
41.603 2.63594
41.628 2.63967
41.652 2.62790
41.677 2.62120
41.702 2.64360
41.727 2.64329
41.752 2.62505
41.776 2.61589
41.801 2.58739
41.826 2.56695
41.851 2.56548
41.875 2.55609
41.900 2.56972
41.925 2.55431
41.950 2.49555
41.974 2.48244
41.999 2.49863
42.024 2.45610
42.049 2.40783
42.074 2.36179
42.098 2.31662
42.123 2.25852
42.148 2.22097
42.173 2.18079
42.197 2.12997
42.222 2.07524
42.247 2.04982
42.272 2.01678
42.296 1.96901
42.321 1.95974
42.346 1.93913
42.371 1.92632
42.396 1.94023
42.420 1.93245
42.445 1.94131
42.470 1.95125
42.495 1.97876
42.520 2.00713
42.544 2.01805
42.569 2.01399
42.594 2.04430
42.619 2.09372
42.643 2.10494
42.668 2.11122
42.693 2.11362
42.718 2.12891
42.743 2.16485
42.767 2.21236
42.792 2.24337
42.817 2.25835
42.842 2.28090
42.867 2.32086
42.891 2.36473
42.916 2.38027
42.941 2.39091
42.966 2.39017
42.991 2.38466
43.015 2.39125
43.040 2.39726
43.065 2.42128
43.090 2.45033
43.115 2.48283
43.139 2.49673
43.164 2.51133
43.189 2.51394
43.214 2.50447
43.239 2.50301
43.263 2.54526
43.288 2.57113
43.313 2.55273
43.338 2.54567
43.363 2.58617
43.387 2.59776
43.412 2.59013
43.437 2.60977
43.462 2.62861
43.487 2.65132
43.511 2.67561
43.536 2.69480
43.561 2.70828
43.586 2.69970
43.611 2.71619
43.635 2.73499
43.660 2.73710
43.685 2.75574
43.710 2.78538
43.735 2.77095
43.759 2.76935
43.784 2.77824
43.809 2.78056
43.834 2.76919
43.859 2.76843
43.883 2.77355
43.908 2.78907
43.933 2.79896
43.958 2.80681
43.983 2.81318
44.007 2.83868
44.032 2.83418
44.057 2.83849
44.082 2.85774
44.107 2.87395
44.132 2.94622
44.156 2.94189
44.181 2.94192
44.206 2.94044
44.231 2.93592
44.256 2.93060
44.280 2.93754
44.305 2.98334
44.330 2.95284
44.355 2.97772
44.380 2.98504
44.404 2.96384
44.429 2.97639
44.454 3.03612
44.479 3.02789
44.504 3.05028
44.529 3.09215
44.553 3.05477
44.578 3.08953
44.603 3.05524
44.628 3.06221
44.653 3.05929
44.677 3.04354
44.702 3.07258
44.727 3.05681
44.752 3.07515
44.777 3.08982
44.801 3.08623
44.826 3.05783
44.851 3.07501
44.876 3.09069
44.901 3.11428
44.926 3.09411
44.950 3.10386
44.975 3.08203
45.000 3.05620
