# resolution = 200, averages = 50
# angle	intensity
40.070 3.18736
40.094 3.21654
40.119 3.20235
40.144 3.19691
40.169 3.16345
40.193 3.12013
40.218 3.11311
40.243 3.13468
40.267 3.13730
40.292 3.11985
40.317 3.11623
40.341 3.10789
40.366 3.11401
40.391 3.11155
40.416 3.10454
40.440 3.10948
40.465 3.10853
40.490 3.12141
40.514 3.10840
40.539 3.08401
40.564 3.09945
40.589 3.10299
40.613 3.07851
40.638 3.06246
40.663 3.05987
40.687 3.02951
40.712 3.01702
40.737 3.05078
40.762 3.05960
40.786 3.02313
40.811 2.99263
40.836 3.01471
40.861 3.02603
40.885 3.01765
40.910 3.03266
40.935 3.02526
40.960 3.01543
40.984 3.02243
41.009 3.01067
41.034 3.02255
41.058 3.01673
41.083 3.02956
41.108 3.04969
41.133 3.02973
41.157 3.00130
41.182 3.00445
41.207 3.03548
41.232 3.03306
41.256 3.03459
41.281 3.01194
41.306 3.01112
41.331 3.00474
41.355 3.02158
41.380 3.02551
41.405 3.00314
41.430 3.02067
41.454 3.02908
41.479 3.01612
41.504 3.01956
41.529 3.04767
41.553 3.03769
41.578 3.03963
41.603 3.04025
41.628 3.00674
41.652 3.00552
41.677 3.00272
41.702 3.00118
41.727 3.01507
41.752 3.02347
41.776 3.02521
41.801 3.02266
41.826 3.02007
41.851 3.02387
41.875 3.02561
41.900 3.04813
41.925 3.02898
41.950 3.00251
41.974 2.99775
41.999 3.01346
42.024 3.02670
42.049 3.03956
42.074 3.04130
42.098 3.03316
42.123 3.00974
42.148 3.00434
42.173 3.02563
42.197 2.98159
42.222 2.97313
42.247 3.00402
42.272 3.04496
42.296 3.04983
42.321 3.07134
42.346 3.07563
42.371 3.02615
42.396 3.00478
42.420 3.00741
42.445 3.03324
42.470 3.04159
42.495 3.07049
42.520 3.07624
42.544 3.06704
42.569 3.05442
42.594 3.07804
42.619 3.03853
42.643 3.01235
42.668 3.02100
42.693 3.03069
42.718 3.04500
42.743 3.03760
42.767 3.03585
42.792 2.99117
42.817 3.01673
42.842 3.07666
42.867 3.11315
42.891 3.08876
42.916 3.08450
42.941 3.08031
42.966 3.09121
42.991 3.03552
43.015 3.05627
43.040 3.06344
43.065 3.06619
43.090 3.07950
43.115 3.13409
43.139 3.17159
43.164 3.16103
43.189 3.14478
43.214 3.12885
43.239 3.13446
43.263 3.16881
43.288 3.17263
43.313 3.18462
43.338 3.17300
43.363 3.15488
43.387 3.15584
43.412 3.17753
43.437 3.26593
43.462 3.30359
43.487 3.28036
43.511 3.22913
43.536 3.23077
43.561 3.23308
43.586 3.26194
43.611 3.29359
43.635 3.28450
43.660 3.33094
43.685 3.34862
43.710 3.35486
43.735 3.37944
43.759 3.34121
43.784 3.32888
43.809 3.32833
43.834 3.35172
43.859 3.32190
43.883 3.35013
43.908 3.39178
43.933 3.37924
43.958 3.42098
43.983 3.41253
44.007 3.37695
44.032 3.39675
44.057 3.38547
44.082 3.40777
44.107 3.46881
44.132 3.48311
44.156 3.50655
44.181 3.50298
44.206 3.52311
44.231 3.52689
44.256 3.54470
44.280 3.55386
44.305 3.57069
44.330 3.59773
44.355 3.56944
44.380 3.55058
44.404 3.56759
44.429 3.57986
44.454 3.57115
44.479 3.57900
44.504 3.60802
44.529 3.62582
44.553 3.60153
44.578 3.63107
44.603 3.65279
44.628 3.65079
44.653 3.64205
44.677 3.64062
44.702 3.63684
44.727 3.64487
44.752 3.62609
44.777 3.65215
44.801 3.63916
44.826 3.68250
44.851 3.69132
44.876 3.70607
44.901 3.68819
44.926 3.67768
44.950 3.66471
44.975 3.68104
45.000 3.65962
