# resolution = 200, averages = 50
# angle	intensity
40.070 2.36505
40.094 2.37295
40.119 2.39562
40.144 2.38330
40.169 2.37431
40.193 2.37697
40.218 2.38530
40.243 2.39589
40.267 2.40133
40.292 2.40351
40.317 2.39511
40.341 2.37085
40.366 2.38056
40.391 2.39985
40.416 2.42391
40.440 2.44299
40.465 2.45367
40.490 2.47115
40.514 2.45085
40.539 2.44786
40.564 2.47120
40.589 2.51198
40.613 2.54796
40.638 2.58764
40.663 2.61204
40.687 2.61484
40.712 2.62109
40.737 2.62470
40.762 2.60119
40.786 2.57295
40.811 2.56925
40.836 2.59760
40.861 2.60558
40.885 2.63806
40.910 2.65234
40.935 2.64739
40.960 2.64476
40.984 2.63805
41.009 2.64935
41.034 2.65439
41.058 2.67781
41.083 2.71739
41.108 2.75090
41.133 2.77588
41.157 2.78355
41.182 2.78153
41.207 2.79945
41.232 2.81622
41.256 2.81278
41.281 2.81949
41.306 2.83894
41.331 2.83188
41.355 2.79981
41.380 2.80312
41.405 2.80402
41.430 2.78644
41.454 2.75359
41.479 2.74862
41.504 2.67624
41.529 2.57856
41.553 2.47648
41.578 2.35701
41.603 2.21116
41.628 2.04081
41.652 1.84735
41.677 1.65920
41.702 1.44111
41.727 1.23642
41.752 1.06499
41.776 0.89760
41.801 0.75269
41.826 0.64040
41.851 0.53862
41.875 0.46337
41.900 0.41341
41.925 0.38926
41.950 0.37422
41.974 0.36542
41.999 0.36653
42.024 0.37941
42.049 0.39571
42.074 0.41499
42.098 0.44691
42.123 0.47192
42.148 0.50147
42.173 0.53165
42.197 0.56827
42.222 0.60182
42.247 0.62808
42.272 0.65428
42.296 0.68438
42.321 0.71484
42.346 0.75011
42.371 0.78414
42.396 0.81654
42.420 0.84624
42.445 0.87775
42.470 0.90233
42.495 0.92221
42.520 0.94135
42.544 0.97083
42.569 0.99142
42.594 1.02282
42.619 1.05180
42.643 1.07047
42.668 1.09616
42.693 1.10951
42.718 1.13234
42.743 1.14846
42.767 1.15763
42.792 1.20686
42.817 1.24283
42.842 1.25695
42.867 1.26034
42.891 1.26045
42.916 1.28191
42.941 1.29151
42.966 1.31100
42.991 1.33789
43.015 1.36692
43.040 1.38183
43.065 1.37074
43.090 1.38784
43.115 1.39074
43.139 1.42958
43.164 1.42574
43.189 1.45705
43.214 1.46809
43.239 1.48188
43.263 1.50765
43.288 1.50182
43.313 1.51064
43.338 1.53952
43.363 1.56232
43.387 1.54884
43.412 1.57872
43.437 1.58219
43.462 1.58915
43.487 1.58835
43.511 1.61096
43.536 1.63988
43.561 1.62101
43.586 1.61656
43.611 1.62902
43.635 1.66418
43.660 1.63549
43.685 1.64601
43.710 1.64451
43.735 1.65005
43.759 1.68197
43.784 1.70751
43.809 1.68205
43.834 1.67413
43.859 1.70401
43.883 1.72545
43.908 1.74925
43.933 1.73832
43.958 1.74071
43.983 1.74896
44.007 1.78460
44.032 1.77126
44.057 1.77099
44.082 1.81352
44.107 1.79161
44.132 1.83716
44.156 1.80443
44.181 1.81594
44.206 1.84761
44.231 1.83143
44.256 1.83005
44.280 1.84435
44.305 1.88581
44.330 1.89592
44.355 1.91282
44.380 1.92911
44.404 1.91616
44.429 1.89022
44.454 1.92957
44.479 1.90503
44.504 1.96615
44.529 1.97907
44.553 1.96304
44.578 1.96894
44.603 2.01091
44.628 1.96450
44.653 1.96747
44.677 1.95764
44.702 1.99981
44.727 1.96644
44.752 2.00440
44.777 1.97464
44.801 2.01139
44.826 1.96619
44.851 2.01198
44.876 1.99706
44.901 2.03487
44.926 2.05082
44.950 2.03638
44.975 2.05032
45.000 2.02870
