# resolution = 200, averages = 50
# angle	intensity
40.070 0.79629
40.094 0.79975
40.119 0.80757
40.144 0.81558
40.169 0.81618
40.193 0.82305
40.218 0.83810
40.243 0.84416
40.267 0.85161
40.292 0.86057
40.317 0.87638
40.341 0.88795
40.366 0.90252
40.391 0.91207
40.416 0.92306
40.440 0.93458
40.465 0.94716
40.490 0.95943
40.514 0.96984
40.539 0.98333
40.564 0.99669
40.589 1.01404
40.613 1.02570
40.638 1.03486
40.663 1.04345
40.687 1.05169
40.712 1.07201
40.737 1.09192
40.762 1.11306
40.786 1.12618
40.811 1.13610
40.836 1.14887
40.861 1.17168
40.885 1.18268
40.910 1.19651
40.935 1.21238
40.960 1.22932
40.984 1.24460
41.009 1.26005
41.034 1.27099
41.058 1.28559
41.083 1.30247
41.108 1.31261
41.133 1.32843
41.157 1.35163
41.182 1.36855
41.207 1.38883
41.232 1.41429
41.256 1.43423
41.281 1.45795
41.306 1.48103
41.331 1.50809
41.355 1.54311
41.380 1.57212
41.405 1.60470
41.430 1.63540
41.454 1.67189
41.479 1.71370
41.504 1.77055
41.529 1.83385
41.553 1.91318
41.578 2.01111
41.603 2.09231
41.628 2.14708
41.652 2.17411
41.677 2.18687
41.702 2.18245
41.727 2.18196
41.752 2.17971
41.776 2.18163
41.801 2.17737
41.826 2.17127
41.851 2.17290
41.875 2.16800
41.900 2.17020
41.925 2.16012
41.950 2.15282
41.974 2.16061
41.999 2.15460
42.024 2.14408
42.049 2.16334
42.074 2.12990
42.098 2.12515
42.123 2.12594
42.148 2.12571
42.173 2.12228
42.197 2.11185
42.222 2.10518
42.247 2.09492
42.272 2.08023
42.296 2.06460
42.321 2.04990
42.346 2.04717
42.371 2.03176
42.396 2.03577
42.420 2.03637
42.445 2.02448
42.470 2.03566
42.495 2.01379
42.520 2.00957
42.544 1.98106
42.569 1.97688
42.594 1.98072
42.619 1.96854
42.643 1.94519
42.668 1.90887
42.693 1.90498
42.718 1.91110
42.743 1.90556
42.767 1.88543
42.792 1.87961
42.817 1.88949
42.842 1.89166
42.867 1.88332
42.891 1.86746
42.916 1.85823
42.941 1.85205
42.966 1.84507
42.991 1.84280
43.015 1.82953
43.040 1.83580
43.065 1.84957
43.090 1.85081
43.115 1.84524
43.139 1.87291
43.164 1.88667
43.189 1.90224
43.214 1.91335
43.239 1.91762
43.263 1.94691
43.288 1.96523
43.313 1.98022
43.338 1.98832
43.363 1.98485
43.387 2.00337
43.412 2.02435
43.437 2.03891
43.462 2.05057
43.487 2.07339
43.511 2.09407
43.536 2.10980
43.561 2.13034
43.586 2.14727
43.611 2.16071
43.635 2.18394
43.660 2.19103
43.685 2.19983
43.710 2.21316
43.735 2.23528
43.759 2.24357
43.784 2.25299
43.809 2.26368
43.834 2.26637
43.859 2.28142
43.883 2.28517
43.908 2.28966
43.933 2.29114
43.958 2.29872
43.983 2.30278
44.007 2.31200
44.032 2.32580
44.057 2.32188
44.082 2.31701
44.107 2.32667
44.132 2.33030
44.156 2.33719
44.181 2.34131
44.206 2.31997
44.231 2.35097
44.256 2.31970
44.280 2.34540
44.305 2.33542
44.330 2.32929
44.355 2.35571
44.380 2.32218
44.404 2.33696
44.429 2.36399
44.454 2.32245
44.479 2.33198
44.504 2.35945
44.529 2.33626
44.553 2.32304
44.578 2.35597
44.603 2.35390
44.628 2.31312
44.653 2.32433
44.677 2.36885
44.702 2.37910
44.727 2.35097
44.752 2.31481
44.777 2.33124
44.801 2.32662
44.826 2.38706
44.851 2.40096
44.876 2.40337
44.901 2.35881
44.926 2.29764
44.950 2.25275
44.975 2.23526
45.000 2.25653
