# resolution = 200, averages = 50
# angle	intensity
40.070 1.35291
40.094 1.37590
40.119 1.40338
40.144 1.42170
40.169 1.41972
40.193 1.43992
40.218 1.46751
40.243 1.48852
40.267 1.50164
40.292 1.51660
40.317 1.54095
40.341 1.54874
40.366 1.56461
40.391 1.58052
40.416 1.60192
40.440 1.61081
40.465 1.62518
40.490 1.63134
40.514 1.64791
40.539 1.68141
40.564 1.71021
40.589 1.73063
40.613 1.74896
40.638 1.78189
40.663 1.81420
40.687 1.81771
40.712 1.82885
40.737 1.84801
40.762 1.86340
40.786 1.88578
40.811 1.93405
40.836 1.98961
40.861 2.02421
40.885 2.03068
40.910 2.04537
40.935 2.09013
40.960 2.13710
40.984 2.15884
41.009 2.19248
41.034 2.23135
41.058 2.26585
41.083 2.30688
41.108 2.37097
41.133 2.42604
41.157 2.46985
41.182 2.50432
41.207 2.54854
41.232 2.59611
41.256 2.66447
41.281 2.72401
41.306 2.81541
41.331 2.88993
41.355 2.96167
41.380 3.04035
41.405 3.12844
41.430 3.24205
41.454 3.38977
41.479 3.57049
41.504 3.67911
41.529 3.76740
41.553 3.81344
41.578 3.82248
41.603 3.82503
41.628 3.84173
41.652 3.86768
41.677 3.88909
41.702 3.90543
41.727 3.93571
41.752 3.94457
41.776 3.90060
41.801 3.86423
41.826 3.85901
41.851 3.88075
41.875 3.86277
41.900 3.84966
41.925 3.86667
41.950 3.88741
41.974 3.89301
41.999 3.86731
42.024 3.87281
42.049 3.89890
42.074 3.89390
42.098 3.91604
42.123 3.93096
42.148 3.92047
42.173 3.92333
42.197 3.95985
42.222 3.95643
42.247 3.93203
42.272 3.91701
42.296 3.91819
42.321 3.89930
42.346 3.89781
42.371 3.90095
42.396 3.89415
42.420 3.88408
42.445 3.89758
42.470 3.87443
42.495 3.89508
42.520 3.92696
42.544 3.93178
42.569 3.93946
42.594 3.97185
42.619 3.94957
42.643 3.91920
42.668 3.92971
42.693 3.93238
42.718 3.91292
42.743 3.94243
42.767 3.98748
42.792 3.97687
42.817 3.96766
42.842 3.94500
42.867 3.96478
42.891 3.99728
42.916 3.99467
42.941 3.95208
42.966 3.95197
42.991 3.96998
43.015 3.98304
43.040 4.02592
43.065 4.04753
43.090 4.04110
43.115 4.00737
43.139 3.98705
43.164 4.02080
43.189 3.97812
43.214 3.95274
43.239 4.00258
43.263 4.04099
43.288 4.07042
43.313 4.09788
43.338 4.09400
43.363 4.04772
43.387 4.03764
43.412 4.05247
43.437 4.05974
43.462 4.10027
43.487 4.12562
43.511 4.11123
43.536 4.09820
43.561 4.06960
43.586 4.10213
43.611 4.07897
43.635 4.03003
43.660 3.99525
43.685 3.99955
43.710 4.08161
43.735 4.10370
43.759 4.07041
43.784 4.03805
43.809 4.02982
43.834 4.10519
43.859 4.17435
43.883 4.16926
43.908 4.15101
43.933 4.13643
43.958 4.12281
43.983 4.11760
44.007 4.12429
44.032 4.12338
44.057 4.14259
44.082 4.16354
44.107 4.19697
44.132 4.23773
44.156 4.24385
44.181 4.24727
44.206 4.20356
44.231 4.18823
44.256 4.15133
44.280 4.25091
44.305 4.18842
44.330 4.20423
44.355 4.17162
44.380 4.17421
44.404 4.18072
44.429 4.27486
44.454 4.36681
44.479 4.33829
44.504 4.27291
44.529 4.27121
44.553 4.30240
44.578 4.30312
44.603 4.35779
44.628 4.35742
44.653 4.38842
44.677 4.43087
44.702 4.39119
44.727 4.45038
44.752 4.40103
44.777 4.39974
44.801 4.35298
44.826 4.35365
44.851 4.37706
44.876 4.41503
44.901 4.46985
44.926 4.48237
44.950 4.50114
44.975 4.48163
45.000 4.48786
